# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
0.0000000000e+00	head	1.1598068712e+05	1.3776846167e+07	8.1933878653e+04	5.0976540237e+05
1.0000000000e+01	head	4.7507292458e+03	1.0171881439e+06	3.6355792688e+03	2.2619367706e+04
2.0000000000e+01	head	4.7234832185e+03	9.1193106160e+05	3.3778137061e+03	2.1015635917e+04
3.0000000000e+01	head	4.1272923764e+03	9.5827224666e+05	3.2391211812e+03	2.0152737054e+04
4.0000000000e+01	head	3.0143333387e+03	9.8102198425e+05	3.1649045105e+03	1.9690985558e+04
5.0000000000e+01	head	1.2668547399e+03	9.8348131633e+05	3.1192174125e+03	1.9406735596e+04
6.0000000000e+01	head	7.5304119836e+02	9.8463870450e+05	3.0923961620e+03	1.9239862676e+04
7.0000000000e+01	head	5.5253560182e+02	9.8264858793e+05	3.0772902850e+03	1.9145878922e+04
8.0000000000e+01	head	6.0289412106e+02	9.8264320391e+05	3.0725222392e+03	1.9116213724e+04
9.0000000000e+01	head	4.8402651264e+02	9.8458683274e+05	3.0727416497e+03	1.9117578823e+04
1.0000000000e+02	head	4.7848134532e+02	9.8626590838e+05	3.0708215384e+03	1.9105632528e+04
1.1000000000e+02	head	4.5274185844e+02	9.8644977126e+05	3.0662926313e+03	1.9077455171e+04
1.2000000000e+02	head	4.5269869441e+02	9.8521384873e+05	3.0610158870e+03	1.9044625019e+04
1.3000000000e+02	head	9.5736558656e+02	9.8348978865e+05	3.0489531636e+03	1.8969574757e+04
1.4000000000e+02	head	1.0142322613e+03	9.8159723803e+05	3.0352821210e+03	1.8884518067e+04
1.5000000000e+02	head	1.0831669468e+03	9.7949248186e+05	3.0219098155e+03	1.8801320020e+04
1.6000000000e+02	head	9.8240755796e+02	9.7724102217e+05	3.0117955565e+03	1.8738392457e+04
1.7000000000e+02	head	9.7008055701e+02	9.7521107539e+05	2.9997299848e+03	1.8663324474e+04
1.8000000000e+02	head	7.9232898575e+02	9.7358513109e+05	2.9866925260e+03	1.8582209732e+04
1.9000000000e+02	head	8.4534221329e+02	9.7233404610e+05	2.9812109799e+03	1.8548105371e+04
2.0000000000e+02	head	7.5712185664e+02	9.7128328716e+05	2.9760433583e+03	1.8515954144e+04
2.1000000000e+02	head	1.3914310051e+03	9.7022306812e+05	2.9713399667e+03	1.8486691203e+04
2.2000000000e+02	head	1.4808285314e+03	9.6903100639e+05	2.9694446094e+03	1.8474898918e+04
2.3000000000e+02	head	1.2586547750e+03	9.6769494449e+05	2.9629206643e+03	1.8434309097e+04
2.4000000000e+02	head	8.3978156575e+02	9.6636669403e+05	2.9511812048e+03	1.8361270076e+04
2.5000000000e+02	head	5.0095577399e+02	9.6521599303e+05	2.9394585152e+03	1.8288335392e+04
2.6000000000e+02	head	5.7096010385e+02	9.6425858144e+05	2.9301334023e+03	1.8230317634e+04
2.7000000000e+02	head	9.0728949954e+02	9.6354260324e+05	2.9186296009e+03	1.8158744799e+04
2.8000000000e+02	head	7.4447250799e+02	9.6305044182e+05	2.9078872503e+03	1.8091909459e+04
2.9000000000e+02	head	7.0282772554e+02	9.6279221321e+05	2.9020076571e+03	1.8055328581e+04
3.0000000000e+02	head	6.7468357808e+02	9.6278282598e+05	2.8989455833e+03	1.8036277374e+04
3.1000000000e+02	head	4.5392395346e+02	9.6300167778e+05	2.8973939618e+03	1.8026623700e+04
3.2000000000e+02	head	3.4960179929e+02	9.6329500001e+05	2.8943129667e+03	1.8007454771e+04
3.3000000000e+02	head	4.6845917038e+02	9.6349180635e+05	2.8900623247e+03	1.7981008687e+04
3.4000000000e+02	head	4.2241349791e+02	9.6353839663e+05	2.8834283002e+03	1.7939733988e+04
3.5000000000e+02	head	3.2834364178e+02	9.6348440514e+05	2.8746130721e+03	1.7884888564e+04
3.6000000000e+02	head	2.8599625558e+02	9.6342936367e+05	2.8661582240e+03	1.7832285305e+04
3.7000000000e+02	head	4.7091838666e+02	9.6348561817e+05	2.8592308224e+03	1.7789185311e+04
3.8000000000e+02	head	8.2918181371e+02	9.6373574712e+05	2.8531896631e+03	1.7751599223e+04
3.9000000000e+02	head	1.0249880205e+03	9.6422085679e+05	2.8495579533e+03	1.7729003930e+04
4.0000000000e+02	head	5.0784097307e+02	9.6492818437e+05	2.8476481134e+03	1.7717121540e+04
4.1000000000e+02	head	7.5885915994e+02	9.6576353776e+05	2.8439258438e+03	1.7693962814e+04
4.2000000000e+02	head	6.0363828208e+02	9.6659073365e+05	2.8391145365e+03	1.7664028457e+04
4.3000000000e+02	head	3.9242636919e+02	9.6729712073e+05	2.8341243726e+03	1.7632981313e+04
4.4000000000e+02	head	1.6587723876e+02	9.6784357407e+05	2.8297242316e+03	1.7605605095e+04
4.5000000000e+02	head	3.7393387255e+02	9.6824066519e+05	2.8283227291e+03	1.7596885412e+04
4.6000000000e+02	head	5.8910940568e+02	9.6854780605e+05	2.8292698859e+03	1.7602778307e+04
4.7000000000e+02	head	4.1517871830e+02	9.6885249764e+05	2.8316208289e+03	1.7617405094e+04
4.8000000000e+02	head	5.1681190606e+02	9.6920642503e+05	2.8349551965e+03	1.7638150423e+04
4.9000000000e+02	head	4.3644712659e+02	9.6959929518e+05	2.8373905149e+03	1.7653302166e+04
5.0000000000e+02	head	8.8874762038e+02	9.6996465621e+05	2.8398349502e+03	1.7668510631e+04
5.1000000000e+02	head	1.0025954153e+03	9.7022357480e+05	2.8431020046e+03	1.7688837160e+04
5.2000000000e+02	head	1.1888263445e+03	9.7033501375e+05	2.8465323128e+03	1.7710179399e+04
5.3000000000e+02	head	1.0936170562e+03	9.7032312687e+05	2.8507895714e+03	1.7736666649e+04
5.4000000000e+02	head	8.0772053055e+02	9.7025849126e+05	2.8563247998e+03	1.7771105003e+04
5.5000000000e+02	head	1.1686109513e+03	9.7022677044e+05	2.8637398252e+03	1.7817238831e+04
5.6000000000e+02	head	1.1751668225e+03	9.7029369892e+05	2.8722912963e+03	1.7870443246e+04
5.7000000000e+02	head	1.2375469658e+03	9.7046426134e+05	2.8807320203e+03	1.7922958630e+04
5.8000000000e+02	head	1.2794448316e+03	9.7068030955e+05	2.8892049203e+03	1.7975674202e+04
5.9000000000e+02	head	1.3340445590e+03	9.7086056172e+05	2.8972991174e+03	1.8026033609e+04
6.0000000000e+02	head	1.3832114718e+03	9.7095832781e+05	2.9036277560e+03	1.8065408299e+04
6.1000000000e+02	head	1.4161643308e+03	9.7099938358e+05	2.9070378288e+03	1.8086624640e+04
6.2000000000e+02	head	1.4375989076e+03	9.7104835173e+05	2.9077166554e+03	1.8090848074e+04
6.3000000000e+02	head	1.4509063579e+03	9.7113987392e+05	2.9077093890e+03	1.8090802865e+04
6.4000000000e+02	head	1.3038506903e+03	9.7125104483e+05	2.9082449028e+03	1.8094134654e+04
6.5000000000e+02	head	1.3873877898e+03	9.7132737905e+05	2.9093573616e+03	1.8101056003e+04
6.6000000000e+02	head	1.2216487048e+03	9.7133248601e+05	2.9120735115e+03	1.8117954987e+04
6.7000000000e+02	head	9.3576706581e+02	9.7127471940e+05	2.9153085664e+03	1.8138082425e+04
6.8000000000e+02	head	7.3270861681e+02	9.7119440420e+05	2.9181144712e+03	1.8155539833e+04
6.9000000000e+02	head	9.2662172535e+02	9.7112413447e+05	2.9216960247e+03	1.8177823070e+04
7.0000000000e+02	head	8.3730205684e+02	9.7106770590e+05	2.9262226593e+03	1.8205986288e+04
7.1000000000e+02	head	7.3595348440e+02	9.7101290927e+05	2.9303634989e+03	1.8231749219e+04
7.2000000000e+02	head	6.8398530255e+02	9.7095492629e+05	2.9345792078e+03	1.8257977960e+04
7.3000000000e+02	head	9.1207691412e+02	9.7091147166e+05	2.9388987570e+03	1.8284852762e+04
7.4000000000e+02	head	1.3805283671e+03	9.7091548576e+05	2.9425225322e+03	1.8307398689e+04
7.5000000000e+02	head	1.1801002500e+03	9.7099562127e+05	2.9459744647e+03	1.8328875467e+04
7.6000000000e+02	head	1.1548548108e+03	9.7115471636e+05	2.9489563714e+03	1.8347427901e+04
7.7000000000e+02	head	1.1286834522e+03	9.7136995757e+05	2.9501452449e+03	1.8354824677e+04
7.8000000000e+02	head	1.0783486643e+03	9.7160974357e+05	2.9498870649e+03	1.8353218367e+04
7.9000000000e+02	head	1.1740757034e+03	9.7185019952e+05	2.9493678353e+03	1.8349987893e+04
8.0000000000e+02	head	1.2816593120e+03	9.7208111510e+05	2.9491187734e+03	1.8348438312e+04
