# Selection       : patch(inlet)
# Faces           : 672
# Area            : 3.0000000378e-02
# Time            	areaAverage(p)
0                 	1.0000000000e+05
10                	1.0187586725e+05
20                	1.0071668369e+05
30                	1.0035629463e+05
40                	1.0031917862e+05
50                	1.0033470904e+05
60                	1.0035201255e+05
70                	1.0037786199e+05
80                	1.0041903039e+05
90                	1.0044162759e+05
100               	1.0046190504e+05
110               	1.0048228325e+05
120               	1.0049623567e+05
130               	1.0049781523e+05
140               	1.0050084426e+05
150               	1.0050710964e+05
160               	1.0051746950e+05
170               	1.0053808904e+05
180               	1.0057046070e+05
190               	1.0060289542e+05
200               	1.0061929769e+05
210               	1.0062029961e+05
220               	1.0061935020e+05
230               	1.0062097806e+05
240               	1.0062212036e+05
250               	1.0062564374e+05
260               	1.0063230246e+05
270               	1.0064124155e+05
280               	1.0064668136e+05
290               	1.0065158132e+05
300               	1.0065860188e+05
310               	1.0066620832e+05
320               	1.0067074037e+05
330               	1.0067343751e+05
340               	1.0067552005e+05
350               	1.0067614574e+05
360               	1.0067542216e+05
370               	1.0067469665e+05
380               	1.0067590717e+05
390               	1.0067718872e+05
400               	1.0067746792e+05
410               	1.0068009413e+05
420               	1.0068629609e+05
430               	1.0069322651e+05
440               	1.0069898597e+05
450               	1.0070201085e+05
460               	1.0070138069e+05
470               	1.0069827215e+05
480               	1.0069351069e+05
490               	1.0068892791e+05
500               	1.0068629681e+05
510               	1.0068571642e+05
520               	1.0068730738e+05
530               	1.0068991593e+05
540               	1.0069243758e+05
550               	1.0069427387e+05
560               	1.0069517741e+05
570               	1.0069513923e+05
580               	1.0069429608e+05
590               	1.0069245021e+05
600               	1.0069049116e+05
610               	1.0068900706e+05
620               	1.0068852963e+05
630               	1.0068897931e+05
640               	1.0068978020e+05
650               	1.0069028609e+05
660               	1.0069055560e+05
670               	1.0069019228e+05
680               	1.0068906381e+05
690               	1.0068742376e+05
700               	1.0068560598e+05
710               	1.0068371221e+05
720               	1.0068243229e+05
730               	1.0068249638e+05
740               	1.0068367000e+05
750               	1.0068537089e+05
760               	1.0068666568e+05
770               	1.0068731433e+05
780               	1.0068717306e+05
790               	1.0068597410e+05
800               	1.0068445092e+05
