# Selection       : patch(outlet)
# Faces           : 672
# Area            : 3.0000000126e-02
# Time            	sum(phi)
0                 	9.0670276604e-01
10                	8.4955874565e-01
20                	8.4988798528e-01
30                	8.5009226101e-01
40                	8.5017835222e-01
50                	8.5000867577e-01
60                	8.4996266149e-01
70                	8.4991303853e-01
80                	8.4998048854e-01
90                	8.4977626951e-01
100               	8.4987915684e-01
110               	8.4991730496e-01
120               	8.5003298638e-01
130               	8.5001519495e-01
140               	8.5005707689e-01
150               	8.5002742914e-01
160               	8.4993142426e-01
170               	8.4988450427e-01
180               	8.4991198852e-01
190               	8.4990320818e-01
200               	8.4994638349e-01
210               	8.4999967402e-01
220               	8.4998882718e-01
230               	8.4998118823e-01
240               	8.4999018121e-01
250               	8.4998284415e-01
260               	8.4997111062e-01
270               	8.4998306470e-01
280               	8.4999994489e-01
290               	8.4996363005e-01
300               	8.4994963509e-01
310               	8.4995157052e-01
320               	8.4996440338e-01
330               	8.4997013715e-01
340               	8.4999166325e-01
350               	8.5001436902e-01
360               	8.5001892651e-01
370               	8.5000642143e-01
380               	8.5000110301e-01
390               	8.5000647480e-01
400               	8.4999961180e-01
410               	8.4997774049e-01
420               	8.4997547038e-01
430               	8.4998028598e-01
440               	8.4999801296e-01
450               	8.5000395225e-01
460               	8.5000967706e-01
470               	8.5003766543e-01
480               	8.5003440477e-01
490               	8.5002979031e-01
500               	8.5002317810e-01
510               	8.5000745801e-01
520               	8.4998551335e-01
530               	8.4998537500e-01
540               	8.4998648905e-01
550               	8.4998773627e-01
560               	8.4999631960e-01
570               	8.5000244561e-01
580               	8.5001587655e-01
590               	8.5002150318e-01
600               	8.5002236366e-01
610               	8.5001923112e-01
620               	8.5001335910e-01
630               	8.5000147295e-01
640               	8.5000583369e-01
650               	8.5000544845e-01
660               	8.5000476469e-01
670               	8.5000918638e-01
680               	8.5001554912e-01
690               	8.5001958818e-01
700               	8.5002240010e-01
710               	8.5002091309e-01
720               	8.5000844868e-01
730               	8.4999745459e-01
740               	8.4999212252e-01
750               	8.4999023383e-01
760               	8.4999128594e-01
770               	8.4999923211e-01
780               	8.5001104440e-01
790               	8.5001294120e-01
800               	8.5001200001e-01
