# Selection       : patch(outlet)
# Faces           : 672
# Area            : 3.0000000126e-02
# Time            	average(T)	average(UMagSqr)
0                 	3.0815000000e+02	7.1446936443e+02
10                	3.0817787182e+02	6.3997668014e+02
20                	3.0830081916e+02	6.6586376237e+02
30                	3.0839534636e+02	7.2522703263e+02
40                	3.0842557168e+02	7.7712520444e+02
50                	3.0847234798e+02	8.2004456294e+02
60                	3.0852187517e+02	8.6099544922e+02
70                	3.0853999217e+02	9.0064509998e+02
80                	3.0852327741e+02	9.5251504594e+02
90                	3.0851558605e+02	1.0146149438e+03
100               	3.0854520572e+02	1.0848374884e+03
110               	3.0860768491e+02	1.1582318479e+03
120               	3.0871276880e+02	1.2079699700e+03
130               	3.0885222461e+02	1.2235930230e+03
140               	3.0898610496e+02	1.2183935324e+03
150               	3.0909834066e+02	1.2040920974e+03
160               	3.0918055647e+02	1.2066959805e+03
170               	3.0925575644e+02	1.2438560966e+03
180               	3.0934764153e+02	1.3087777827e+03
190               	3.0945561050e+02	1.3767969175e+03
200               	3.0957997708e+02	1.4240089969e+03
210               	3.0971662221e+02	1.4467652049e+03
220               	3.0984805318e+02	1.4553278120e+03
230               	3.0995669684e+02	1.4606022741e+03
240               	3.1005079227e+02	1.4622692755e+03
250               	3.1012537111e+02	1.4626297344e+03
260               	3.1018222944e+02	1.4677166956e+03
270               	3.1022496369e+02	1.4792790476e+03
280               	3.1025969430e+02	1.4905962733e+03
290               	3.1028633844e+02	1.4962071100e+03
300               	3.1030831259e+02	1.5042314893e+03
310               	3.1035285059e+02	1.5160408955e+03
320               	3.1041347324e+02	1.5288765169e+03
330               	3.1046883172e+02	1.5417308881e+03
340               	3.1052989030e+02	1.5521022792e+03
350               	3.1061031385e+02	1.5535212207e+03
360               	3.1068037479e+02	1.5468108328e+03
370               	3.1070576989e+02	1.5396466348e+03
380               	3.1069700151e+02	1.5406419766e+03
390               	3.1069835516e+02	1.5474800657e+03
400               	3.1071466565e+02	1.5521826509e+03
410               	3.1072060515e+02	1.5538491745e+03
420               	3.1071458375e+02	1.5562825606e+03
430               	3.1071474698e+02	1.5609545628e+03
440               	3.1073119201e+02	1.5677563418e+03
450               	3.1076440693e+02	1.5758879974e+03
460               	3.1081528308e+02	1.5832898860e+03
470               	3.1088827393e+02	1.5855659228e+03
480               	3.1097398150e+02	1.5772580068e+03
490               	3.1102468280e+02	1.5621984831e+03
500               	3.1102262254e+02	1.5507620781e+03
510               	3.1100209839e+02	1.5455003348e+03
520               	3.1098825083e+02	1.5462910294e+03
530               	3.1099263840e+02	1.5510589890e+03
540               	3.1101183014e+02	1.5567789438e+03
550               	3.1103141843e+02	1.5619413177e+03
560               	3.1104558570e+02	1.5657947655e+03
570               	3.1105912908e+02	1.5674960253e+03
580               	3.1107481330e+02	1.5661969888e+03
590               	3.1109155284e+02	1.5617285701e+03
600               	3.1110599251e+02	1.5563013423e+03
610               	3.1111572268e+02	1.5521827438e+03
620               	3.1112817432e+02	1.5501037209e+03
630               	3.1114746792e+02	1.5490518748e+03
640               	3.1116869094e+02	1.5482006167e+03
650               	3.1118171019e+02	1.5477453295e+03
660               	3.1118392947e+02	1.5485250650e+03
670               	3.1118075296e+02	1.5505177483e+03
680               	3.1117834644e+02	1.5521018051e+03
690               	3.1117760437e+02	1.5513123611e+03
700               	3.1117306795e+02	1.5475180564e+03
710               	3.1115797839e+02	1.5421988320e+03
720               	3.1113299288e+02	1.5380292280e+03
730               	3.1110486129e+02	1.5367152993e+03
740               	3.1108151753e+02	1.5381826091e+03
750               	3.1106629572e+02	1.5415435158e+03
760               	3.1106083360e+02	1.5455746848e+03
770               	3.1106814722e+02	1.5486472568e+03
780               	3.1108582546e+02	1.5493173620e+03
790               	3.1110671698e+02	1.5471027203e+03
800               	3.1112212007e+02	1.5439198776e+03
