# Selection       : patch(outlet)
# Faces           : 672
# Area            : 3.0000000126e-02
# Time            	average(T)
0                 	3.0815000000e+02
10                	3.0817787182e+02
20                	3.0830081916e+02
30                	3.0839534636e+02
40                	3.0842557168e+02
50                	3.0847234798e+02
60                	3.0852187517e+02
70                	3.0853999217e+02
80                	3.0852327741e+02
90                	3.0851558605e+02
100               	3.0854520572e+02
110               	3.0860768491e+02
120               	3.0871276880e+02
130               	3.0885222461e+02
140               	3.0898610496e+02
150               	3.0909834066e+02
160               	3.0918055647e+02
170               	3.0925575644e+02
180               	3.0934764153e+02
190               	3.0945561050e+02
200               	3.0957997708e+02
210               	3.0971662221e+02
220               	3.0984805318e+02
230               	3.0995669684e+02
240               	3.1005079227e+02
250               	3.1012537111e+02
260               	3.1018222944e+02
270               	3.1022496369e+02
280               	3.1025969430e+02
290               	3.1028633844e+02
300               	3.1030831259e+02
310               	3.1035285059e+02
320               	3.1041347324e+02
330               	3.1046883172e+02
340               	3.1052989030e+02
350               	3.1061031385e+02
360               	3.1068037479e+02
370               	3.1070576989e+02
380               	3.1069700151e+02
390               	3.1069835516e+02
400               	3.1071466565e+02
410               	3.1072060515e+02
420               	3.1071458375e+02
430               	3.1071474698e+02
440               	3.1073119201e+02
450               	3.1076440693e+02
460               	3.1081528308e+02
470               	3.1088827393e+02
480               	3.1097398150e+02
490               	3.1102468280e+02
500               	3.1102262254e+02
510               	3.1100209839e+02
520               	3.1098825083e+02
530               	3.1099263840e+02
540               	3.1101183014e+02
550               	3.1103141843e+02
560               	3.1104558570e+02
570               	3.1105912908e+02
580               	3.1107481330e+02
590               	3.1109155284e+02
600               	3.1110599251e+02
610               	3.1111572268e+02
620               	3.1112817432e+02
630               	3.1114746792e+02
640               	3.1116869094e+02
650               	3.1118171019e+02
660               	3.1118392947e+02
670               	3.1118075296e+02
680               	3.1117834644e+02
690               	3.1117760437e+02
700               	3.1117306795e+02
710               	3.1115797839e+02
720               	3.1113299288e+02
730               	3.1110486129e+02
740               	3.1108151753e+02
750               	3.1106629572e+02
760               	3.1106083360e+02
770               	3.1106814722e+02
780               	3.1108582546e+02
790               	3.1110671698e+02
800               	3.1112212007e+02
