# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
0.0000000000e+00	head	1.2694220969e+05	2.1189645455e+07	1.1493969198e+05	6.8817304412e+05
1.0000000000e+01	head	5.2050772517e+03	1.0850056516e+06	5.2783243394e+03	3.1602664545e+04
2.0000000000e+01	head	6.0365218890e+03	1.4977400024e+06	6.2140000197e+03	3.7204791801e+04
3.0000000000e+01	head	6.2604350707e+03	1.3823545784e+06	6.1922002047e+03	3.7074270788e+04
4.0000000000e+01	head	5.8510473659e+03	1.2130562005e+06	6.0644114363e+03	3.6309167069e+04
5.0000000000e+01	head	5.7399038107e+03	1.1741750801e+06	5.9290186090e+03	3.5498535924e+04
6.0000000000e+01	head	5.4565073421e+03	1.1515338925e+06	5.7945833359e+03	3.4693637899e+04
7.0000000000e+01	head	5.2851154534e+03	1.1150721446e+06	5.6751377408e+03	3.3978486871e+04
8.0000000000e+01	head	5.1051370588e+03	1.0742738612e+06	5.5835861334e+03	3.3430344213e+04
9.0000000000e+01	head	4.8865412238e+03	1.0389020635e+06	5.5180010048e+03	3.3037669439e+04
1.0000000000e+02	head	4.6091715190e+03	1.0133251763e+06	5.4700850437e+03	3.2750784445e+04
1.1000000000e+02	head	4.3694854708e+03	9.9683320606e+05	5.4333372545e+03	3.2530766125e+04
1.2000000000e+02	head	4.1941326571e+03	1.0090579619e+06	5.4046997785e+03	3.2359306303e+04
1.3000000000e+02	head	4.0497535503e+03	1.0486296780e+06	5.3838249729e+03	3.2234323556e+04
1.4000000000e+02	head	3.9219604332e+03	1.0664591791e+06	5.3699456284e+03	3.2151224405e+04
1.5000000000e+02	head	3.8030048975e+03	1.0501678568e+06	5.3623025812e+03	3.2105463546e+04
1.6000000000e+02	head	3.5231996717e+03	1.0389420925e+06	5.3603867424e+03	3.2093992934e+04
1.7000000000e+02	head	3.1898559463e+03	1.0509074262e+06	5.3634361750e+03	3.2112250660e+04
1.8000000000e+02	head	2.8997753550e+03	1.0614975140e+06	5.3704255228e+03	3.2154097655e+04
1.9000000000e+02	head	2.6490747677e+03	1.0786739782e+06	5.3799603925e+03	3.2211185334e+04
2.0000000000e+02	head	2.4302915903e+03	1.1106255625e+06	5.3913879548e+03	3.2279605044e+04
2.1000000000e+02	head	2.2369737118e+03	1.1579614331e+06	5.4044026196e+03	3.2357527138e+04
2.2000000000e+02	head	2.0645418008e+03	1.2107859918e+06	5.4185151550e+03	3.2442022461e+04
2.3000000000e+02	head	1.9089340677e+03	1.2518647501e+06	5.4333616406e+03	3.2530912130e+04
2.4000000000e+02	head	1.7692360775e+03	1.2739349933e+06	5.4474674454e+03	3.2615367156e+04
2.5000000000e+02	head	1.6434540511e+03	1.2662823325e+06	5.4605734222e+03	3.2693835958e+04
2.6000000000e+02	head	1.5296301496e+03	1.2241548149e+06	5.4720880589e+03	3.2762777004e+04
2.7000000000e+02	head	1.4264728064e+03	1.1596623447e+06	5.4810229472e+03	3.2816272443e+04
2.8000000000e+02	head	1.3318136985e+03	1.0876350737e+06	5.4865688579e+03	3.2849477215e+04
2.9000000000e+02	head	1.2438188716e+03	1.0270141315e+06	5.4899390562e+03	3.2869655446e+04
3.0000000000e+02	head	1.1611169445e+03	9.9171446040e+05	5.4915854440e+03	3.2879512786e+04
3.1000000000e+02	head	1.0614754240e+03	9.7807821864e+05	5.4925012077e+03	3.2884995696e+04
3.2000000000e+02	head	9.6482070413e+02	9.7943418453e+05	5.4929181697e+03	3.2887492152e+04
3.3000000000e+02	head	8.7520698727e+02	9.9346875555e+05	5.4932221020e+03	3.2889311873e+04
3.4000000000e+02	head	7.9046046299e+02	1.0176340098e+06	5.4934919798e+03	3.2890927699e+04
3.5000000000e+02	head	7.1238691579e+02	1.0496512688e+06	5.4932615143e+03	3.2889547844e+04
3.6000000000e+02	head	6.4475512509e+02	1.0874958985e+06	5.4921460053e+03	3.2882869009e+04
3.7000000000e+02	head	5.8577900188e+02	1.1275457839e+06	5.4905022987e+03	3.2873027721e+04
3.8000000000e+02	head	5.3389732080e+02	1.1672698850e+06	5.4880234170e+03	3.2858186029e+04
3.9000000000e+02	head	4.8843709616e+02	1.2026467126e+06	5.4851375265e+03	3.2840907471e+04
4.0000000000e+02	head	4.4896837314e+02	1.2291071277e+06	5.4820642294e+03	3.2822506864e+04
