# Selection       : patch(inlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	areaAverage(p)
0                 	1.0000000000e+05
10                	5.3190140142e+04
20                	8.8004093327e+04
30                	1.0210308312e+05
40                	1.0291776728e+05
50                	1.0159832401e+05
60                	1.0106787225e+05
70                	1.0106974456e+05
80                	1.0114420795e+05
90                	1.0117061813e+05
100               	1.0118297814e+05
110               	1.0120894315e+05
120               	1.0123235420e+05
130               	1.0125038863e+05
140               	1.0126916001e+05
150               	1.0128558647e+05
160               	1.0130296429e+05
170               	1.0132083322e+05
180               	1.0134188161e+05
190               	1.0136820765e+05
200               	1.0140109791e+05
210               	1.0144044109e+05
220               	1.0147937462e+05
230               	1.0152624378e+05
240               	1.0155662914e+05
250               	1.0158404585e+05
260               	1.0160463157e+05
270               	1.0162404454e+05
280               	1.0164405365e+05
290               	1.0166257817e+05
300               	1.0167703115e+05
310               	1.0168509488e+05
320               	1.0168663226e+05
330               	1.0168376753e+05
340               	1.0167873797e+05
350               	1.0167416405e+05
360               	1.0166954406e+05
370               	1.0166428290e+05
380               	1.0165851860e+05
390               	1.0165299494e+05
400               	1.0164853522e+05
