# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	sum(phi)
0                 	8.5014015004e-01
10                	8.4736647080e-01
20                	8.4979856655e-01
30                	8.5017065451e-01
40                	8.5011995937e-01
50                	8.4998807646e-01
60                	8.4998565378e-01
70                	8.5000325025e-01
80                	8.5000419109e-01
90                	8.4998591908e-01
100               	8.4998882972e-01
110               	8.4999399237e-01
120               	8.4999643622e-01
130               	8.5000103313e-01
140               	8.4999863991e-01
150               	8.4999678542e-01
160               	8.4999554502e-01
170               	8.4999600792e-01
180               	8.4999299643e-01
190               	8.4999128743e-01
200               	8.4999309901e-01
210               	8.4999813381e-01
220               	8.4996179330e-01
230               	8.4996488272e-01
240               	8.5000393888e-01
250               	8.5000461204e-01
260               	8.5000562290e-01
270               	8.5000689904e-01
280               	8.5000694534e-01
290               	8.5000611521e-01
300               	8.5000666524e-01
310               	8.5001107298e-01
320               	8.5001533004e-01
330               	8.5001583743e-01
340               	8.5001495337e-01
350               	8.5001343199e-01
360               	8.5001241678e-01
370               	8.5001232342e-01
380               	8.5001198540e-01
390               	8.5001095844e-01
400               	8.5000992540e-01
