# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
0                 	3.0815000000e+02	1.1069797890e+03
10                	3.0815014727e+02	1.1069686713e+03
20                	3.0815044902e+02	1.1229641801e+03
30                	3.0815107437e+02	1.1232506300e+03
40                	3.0815215773e+02	1.1256882044e+03
50                	3.0815392362e+02	1.1391345964e+03
60                	3.0815676894e+02	1.1662433219e+03
70                	3.0816115676e+02	1.2097852722e+03
80                	3.0816735597e+02	1.2720364423e+03
90                	3.0817520389e+02	1.3520623703e+03
100               	3.0818402173e+02	1.4439971440e+03
110               	3.0819284604e+02	1.5377311099e+03
120               	3.0820091176e+02	1.6240825246e+03
130               	3.0820801477e+02	1.6995340509e+03
140               	3.0821435977e+02	1.7654887413e+03
150               	3.0822025114e+02	1.8253051229e+03
160               	3.0822586602e+02	1.8804502771e+03
170               	3.0823137902e+02	1.9303689252e+03
180               	3.0823722248e+02	1.9763995722e+03
190               	3.0824396368e+02	2.0225522515e+03
200               	3.0825210602e+02	2.0738668835e+03
210               	3.0826184480e+02	2.1356822941e+03
220               	3.0827247642e+02	2.2078694234e+03
230               	3.0828271510e+02	2.2823644584e+03
240               	3.0829183011e+02	2.3508030110e+03
250               	3.0830011200e+02	2.4105863035e+03
260               	3.0830856147e+02	2.4671328956e+03
270               	3.0831793081e+02	2.5283604714e+03
280               	3.0832808834e+02	2.5958415182e+03
290               	3.0833831901e+02	2.6649739620e+03
300               	3.0834784453e+02	2.7290851002e+03
310               	3.0835608907e+02	2.7816611248e+03
320               	3.0836289317e+02	2.8193425804e+03
330               	3.0836863511e+02	2.8442141519e+03
340               	3.0837391839e+02	2.8627249095e+03
350               	3.0837903228e+02	2.8796607493e+03
360               	3.0838385425e+02	2.8944781772e+03
370               	3.0838813663e+02	2.9042856059e+03
380               	3.0839170315e+02	2.9065012745e+03
390               	3.0839460424e+02	2.9009049414e+03
400               	3.0839710064e+02	2.8902209928e+03
