# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	average(T)
0                 	3.0815000000e+02
10                	3.0815014727e+02
20                	3.0815044902e+02
30                	3.0815107437e+02
40                	3.0815215773e+02
50                	3.0815392362e+02
60                	3.0815676894e+02
70                	3.0816115676e+02
80                	3.0816735597e+02
90                	3.0817520389e+02
100               	3.0818402173e+02
110               	3.0819284604e+02
120               	3.0820091176e+02
130               	3.0820801477e+02
140               	3.0821435977e+02
150               	3.0822025114e+02
160               	3.0822586602e+02
170               	3.0823137902e+02
180               	3.0823722248e+02
190               	3.0824396368e+02
200               	3.0825210602e+02
210               	3.0826184480e+02
220               	3.0827247642e+02
230               	3.0828271510e+02
240               	3.0829183011e+02
250               	3.0830011200e+02
260               	3.0830856147e+02
270               	3.0831793081e+02
280               	3.0832808834e+02
290               	3.0833831901e+02
300               	3.0834784453e+02
310               	3.0835608907e+02
320               	3.0836289317e+02
330               	3.0836863511e+02
340               	3.0837391839e+02
350               	3.0837903228e+02
360               	3.0838385425e+02
370               	3.0838813663e+02
380               	3.0839170315e+02
390               	3.0839460424e+02
400               	3.0839710064e+02
