# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
1.0000000000e+02	head	2.3869375839e+03	7.1472398201e+05	4.5978548974e+03	2.8977539479e+04
1.1000000000e+02	head	2.5432950436e+03	7.2733674045e+05	4.5763159432e+03	2.8841792285e+04
1.2000000000e+02	head	2.6456916680e+03	7.4247835333e+05	4.5672738412e+03	2.8784805305e+04
1.3000000000e+02	head	2.6795074456e+03	7.5586799388e+05	4.5677393086e+03	2.8787738869e+04
1.4000000000e+02	head	2.6468527231e+03	7.6377540562e+05	4.5741739284e+03	2.8828292443e+04
1.5000000000e+02	head	2.6234329600e+03	7.6614020069e+05	4.5841427197e+03	2.8891119794e+04
1.6000000000e+02	head	2.6126212147e+03	7.6453911319e+05	4.5945416099e+03	2.8956657802e+04
1.7000000000e+02	head	2.6152557816e+03	7.6307125646e+05	4.6026545162e+03	2.9007788616e+04
1.8000000000e+02	head	2.6293615811e+03	7.6716470373e+05	4.6076726365e+03	2.9039414837e+04
1.9000000000e+02	head	2.6493383923e+03	7.7684798311e+05	4.6099286431e+03	2.9053633103e+04
2.0000000000e+02	head	2.7321498748e+03	7.8988442144e+05	4.6100937341e+03	2.9054673573e+04
2.1000000000e+02	head	2.7032119883e+03	8.0558349057e+05	4.6092376253e+03	2.9049278030e+04
2.2000000000e+02	head	2.6314139381e+03	8.2147405496e+05	4.6077238589e+03	2.9039737662e+04
2.3000000000e+02	head	2.5327938568e+03	8.3382193272e+05	4.6057666734e+03	2.9027402688e+04
2.4000000000e+02	head	2.5693883040e+03	8.3881866040e+05	4.6033491488e+03	2.9012166471e+04
2.5000000000e+02	head	2.6512400993e+03	8.3339696211e+05	4.6004553442e+03	2.8993928545e+04
2.6000000000e+02	head	2.7579025151e+03	8.1630714179e+05	4.5970893325e+03	2.8972714579e+04
2.7000000000e+02	head	2.8538212950e+03	7.8813234252e+05	4.5936603494e+03	2.8951103742e+04
2.8000000000e+02	head	2.9181181231e+03	7.4397573202e+05	4.5907086749e+03	2.8932501097e+04
2.9000000000e+02	head	2.9619705502e+03	6.8739503021e+05	4.5886025751e+03	2.8919227604e+04
3.0000000000e+02	head	2.9782557582e+03	6.5356577653e+05	4.5870549146e+03	2.8909473623e+04
3.1000000000e+02	head	2.9684034048e+03	6.5062577770e+05	4.5854242885e+03	2.8899196758e+04
