# Selection       : patch(inlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	areaAverage(p)
100               	1.0144341820e+05
110               	1.0147250059e+05
120               	1.0149701565e+05
130               	1.0152688363e+05
140               	1.0155193553e+05
150               	1.0157525033e+05
160               	1.0159616306e+05
170               	1.0161288910e+05
180               	1.0162000452e+05
190               	1.0161944566e+05
200               	1.0161710492e+05
210               	1.0161542416e+05
220               	1.0161891626e+05
230               	1.0162437289e+05
240               	1.0162947522e+05
250               	1.0163322146e+05
260               	1.0163470589e+05
270               	1.0163752896e+05
280               	1.0163940316e+05
290               	1.0164186081e+05
300               	1.0164489884e+05
310               	1.0164958451e+05
320               	1.0165560107e+05
330               	1.0166291849e+05
340               	1.0167112811e+05
350               	1.0167954616e+05
360               	1.0168791494e+05
370               	1.0169653930e+05
380               	1.0170538430e+05
390               	1.0171468735e+05
400               	1.0172518661e+05
410               	1.0173687746e+05
420               	1.0174952888e+05
430               	1.0176279388e+05
440               	1.0177614426e+05
450               	1.0178982723e+05
460               	1.0180353727e+05
470               	1.0181736639e+05
480               	1.0183095435e+05
490               	1.0184352192e+05
500               	1.0185438132e+05
510               	1.0186254029e+05
520               	1.0186778816e+05
530               	1.0186985771e+05
540               	1.0186852919e+05
550               	1.0186442389e+05
560               	1.0185853108e+05
570               	1.0185102964e+05
580               	1.0184227508e+05
590               	1.0183243339e+05
600               	1.0182257000e+05
610               	1.0181291028e+05
620               	1.0180530983e+05
630               	1.0180053672e+05
640               	1.0179873013e+05
650               	1.0180029393e+05
660               	1.0180374542e+05
670               	1.0180828067e+05
680               	1.0181239885e+05
690               	1.0181543925e+05
700               	1.0181702276e+05
710               	1.0181733701e+05
720               	1.0181680078e+05
730               	1.0181606043e+05
740               	1.0181557661e+05
750               	1.0181549316e+05
760               	1.0181634566e+05
770               	1.0181824842e+05
780               	1.0182131912e+05
790               	1.0182544893e+05
800               	1.0183061939e+05
