# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	sum(phi)
100               	8.4994805186e-01
110               	8.4994506041e-01
120               	8.4995034401e-01
130               	8.4995546110e-01
140               	8.4996296508e-01
150               	8.4997662601e-01
160               	8.4998821856e-01
170               	8.5001280466e-01
180               	8.5002526792e-01
190               	8.5002239744e-01
200               	8.5001763858e-01
210               	8.5000990578e-01
220               	8.4999849580e-01
230               	8.4999846562e-01
240               	8.4999868387e-01
250               	8.5000111496e-01
260               	8.5000383946e-01
270               	8.5000271303e-01
280               	8.5000353641e-01
290               	8.4999992123e-01
300               	8.4999703864e-01
310               	8.4999242091e-01
320               	8.4999113313e-01
330               	8.4998959835e-01
340               	8.4998930205e-01
350               	8.4998929723e-01
360               	8.4998897287e-01
370               	8.4998967301e-01
380               	8.4998987731e-01
390               	8.4998983329e-01
400               	8.4999028592e-01
410               	8.4998999258e-01
420               	8.4998900378e-01
430               	8.4998786508e-01
440               	8.4998767596e-01
450               	8.4998876853e-01
460               	8.4999124960e-01
470               	8.4999420652e-01
480               	8.4999710662e-01
490               	8.4999858320e-01
500               	8.4999966718e-01
510               	8.4999989070e-01
520               	8.5000230968e-01
530               	8.5001301779e-01
540               	8.5002416322e-01
550               	8.5002610577e-01
560               	8.5002454500e-01
570               	8.5002207245e-01
580               	8.5001753323e-01
590               	8.5001270781e-01
600               	8.5000985332e-01
610               	8.5000936450e-01
620               	8.5001069874e-01
630               	8.5001097462e-01
640               	8.5000008825e-01
650               	8.4998740297e-01
660               	8.4999048133e-01
670               	8.4999274811e-01
680               	8.4999336812e-01
690               	8.4999397880e-01
700               	8.4999755322e-01
710               	8.5000162358e-01
720               	8.5000358708e-01
730               	8.5000305618e-01
740               	8.5000094527e-01
750               	8.4999793006e-01
760               	8.4999537666e-01
770               	8.4999244144e-01
780               	8.4999077712e-01
790               	8.4998999401e-01
800               	8.4998959958e-01
