# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
100               	3.0896728183e+02	2.1267464009e+03
110               	3.0896531619e+02	2.2135870217e+03
120               	3.0896039684e+02	2.2977007060e+03
130               	3.0895458719e+02	2.3741889741e+03
140               	3.0894903584e+02	2.4453328480e+03
150               	3.0894704304e+02	2.5184497380e+03
160               	3.0894628662e+02	2.5934406117e+03
170               	3.0894498511e+02	2.6585891571e+03
180               	3.0894061585e+02	2.7001116926e+03
190               	3.0893299671e+02	2.7150651525e+03
200               	3.0892451667e+02	2.7145003858e+03
210               	3.0891670745e+02	2.7127106015e+03
220               	3.0891024093e+02	2.7204708140e+03
230               	3.0890366921e+02	2.7387869697e+03
240               	3.0889568929e+02	2.7602541782e+03
250               	3.0888531371e+02	2.7783487467e+03
260               	3.0887317660e+02	2.7919406366e+03
270               	3.0886022916e+02	2.8019538445e+03
280               	3.0884670807e+02	2.8094813845e+03
290               	3.0883318967e+02	2.8154942730e+03
300               	3.0881972025e+02	2.8222188512e+03
310               	3.0880685689e+02	2.8317354814e+03
320               	3.0879456182e+02	2.8450331390e+03
330               	3.0878245320e+02	2.8625215489e+03
340               	3.0877016085e+02	2.8832134976e+03
350               	3.0875760939e+02	2.9049560654e+03
360               	3.0874480345e+02	2.9259741701e+03
370               	3.0873185395e+02	2.9455376393e+03
380               	3.0871885732e+02	2.9634360452e+03
390               	3.0870577619e+02	2.9799569840e+03
400               	3.0869260294e+02	2.9962526789e+03
410               	3.0867925470e+02	3.0133014016e+03
420               	3.0866559365e+02	3.0316036095e+03
430               	3.0865174535e+02	3.0512921820e+03
440               	3.0863789291e+02	3.0726050225e+03
450               	3.0862434799e+02	3.0967205236e+03
460               	3.0861120898e+02	3.1247485172e+03
470               	3.0859828705e+02	3.1572317274e+03
480               	3.0858538077e+02	3.1931354673e+03
490               	3.0857218279e+02	3.2302777665e+03
500               	3.0855834976e+02	3.2652916734e+03
510               	3.0854385348e+02	3.2946628161e+03
520               	3.0852899671e+02	3.3157525191e+03
530               	3.0851398779e+02	3.3273320342e+03
540               	3.0849929330e+02	3.3298362924e+03
550               	3.0848515085e+02	3.3249258933e+03
560               	3.0847157978e+02	3.3146113622e+03
570               	3.0845854567e+02	3.3002951356e+03
580               	3.0844594576e+02	3.2821528975e+03
590               	3.0843379040e+02	3.2596644827e+03
600               	3.0842265760e+02	3.2332879985e+03
610               	3.0841261649e+02	3.2047180257e+03
620               	3.0840401638e+02	3.1770015660e+03
630               	3.0839701177e+02	3.1542822895e+03
640               	3.0839140879e+02	3.1397966501e+03
650               	3.0838676351e+02	3.1348967159e+03
660               	3.0838259142e+02	3.1387776463e+03
670               	3.0837853318e+02	3.1483823614e+03
680               	3.0837434665e+02	3.1598018831e+03
690               	3.0837023874e+02	3.1697526414e+03
700               	3.0836638313e+02	3.1765981141e+03
710               	3.0836300718e+02	3.1799299429e+03
720               	3.0836030511e+02	3.1804450267e+03
730               	3.0835834995e+02	3.1792484076e+03
740               	3.0835706494e+02	3.1773995501e+03
750               	3.0835639722e+02	3.1754332565e+03
760               	3.0835629608e+02	3.1739107380e+03
770               	3.0835670685e+02	3.1732346888e+03
780               	3.0835760608e+02	3.1736591661e+03
790               	3.0835874087e+02	3.1752350673e+03
800               	3.0836016352e+02	3.1780692828e+03
