# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)
100               	3.0896728183e+02
110               	3.0896531619e+02
120               	3.0896039684e+02
130               	3.0895458719e+02
140               	3.0894903584e+02
150               	3.0894704304e+02
160               	3.0894628662e+02
170               	3.0894498511e+02
180               	3.0894061585e+02
190               	3.0893299671e+02
200               	3.0892451667e+02
210               	3.0891670745e+02
220               	3.0891024093e+02
230               	3.0890366921e+02
240               	3.0889568929e+02
250               	3.0888531371e+02
260               	3.0887317660e+02
270               	3.0886022916e+02
280               	3.0884670807e+02
290               	3.0883318967e+02
300               	3.0881972025e+02
310               	3.0880685689e+02
320               	3.0879456182e+02
330               	3.0878245320e+02
340               	3.0877016085e+02
350               	3.0875760939e+02
360               	3.0874480345e+02
370               	3.0873185395e+02
380               	3.0871885732e+02
390               	3.0870577619e+02
400               	3.0869260294e+02
410               	3.0867925470e+02
420               	3.0866559365e+02
430               	3.0865174535e+02
440               	3.0863789291e+02
450               	3.0862434799e+02
460               	3.0861120898e+02
470               	3.0859828705e+02
480               	3.0858538077e+02
490               	3.0857218279e+02
500               	3.0855834976e+02
510               	3.0854385348e+02
520               	3.0852899671e+02
530               	3.0851398779e+02
540               	3.0849929330e+02
550               	3.0848515085e+02
560               	3.0847157978e+02
570               	3.0845854567e+02
580               	3.0844594576e+02
590               	3.0843379040e+02
600               	3.0842265760e+02
610               	3.0841261649e+02
620               	3.0840401638e+02
630               	3.0839701177e+02
640               	3.0839140879e+02
650               	3.0838676351e+02
660               	3.0838259142e+02
670               	3.0837853318e+02
680               	3.0837434665e+02
690               	3.0837023874e+02
700               	3.0836638313e+02
710               	3.0836300718e+02
720               	3.0836030511e+02
730               	3.0835834995e+02
740               	3.0835706494e+02
750               	3.0835639722e+02
760               	3.0835629608e+02
770               	3.0835670685e+02
780               	3.0835760608e+02
790               	3.0835874087e+02
800               	3.0836016352e+02
