# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
0.0000000000e+00	head	3.6118185963e+03	6.0289761530e+05	3.2703173984e+03	1.9580218465e+04
1.0000000000e+01	head	3.6119246033e+03	5.9214788808e+05	3.2629126052e+03	1.9535884094e+04
2.0000000000e+01	head	3.6119961174e+03	5.7962803093e+05	3.2572104662e+03	1.9501743943e+04
3.0000000000e+01	head	3.6120841155e+03	5.6509533192e+05	3.2510197798e+03	1.9464678736e+04
4.0000000000e+01	head	3.6120935881e+03	5.4895283618e+05	3.2443155661e+03	1.9424538911e+04
5.0000000000e+01	head	3.6120887902e+03	5.3152640318e+05	3.2372194298e+03	1.9382052546e+04
6.0000000000e+01	head	3.6120275671e+03	5.1245986442e+05	3.2298062472e+03	1.9337667944e+04
7.0000000000e+01	head	3.6119619882e+03	4.9348124063e+05	3.2222740397e+03	1.9292570710e+04
8.0000000000e+01	head	3.6118849390e+03	4.8429451091e+05	3.2148077311e+03	1.9247868030e+04
9.0000000000e+01	head	3.6118175209e+03	4.7919630663e+05	3.2075705092e+03	1.9204536949e+04
1.0000000000e+02	head	3.6117532656e+03	4.7702321399e+05	3.2005071177e+03	1.9162246636e+04
1.1000000000e+02	head	3.6116925127e+03	4.7506507940e+05	3.1936652907e+03	1.9121282885e+04
1.2000000000e+02	head	3.6116241453e+03	4.7330005867e+05	3.1870361630e+03	1.9081592619e+04
1.3000000000e+02	head	3.6115403457e+03	4.7173493747e+05	3.1806761410e+03	1.9043513556e+04
1.4000000000e+02	head	3.6114383509e+03	4.7038025951e+05	3.1745357700e+03	1.9006749600e+04
1.5000000000e+02	head	3.6113202610e+03	4.6922260298e+05	3.1685988453e+03	1.8971203728e+04
1.6000000000e+02	head	3.6111895241e+03	4.6821454658e+05	3.1628466297e+03	1.8936763757e+04
1.7000000000e+02	head	3.6110506927e+03	4.6728627409e+05	3.1572786159e+03	1.8903426648e+04
1.8000000000e+02	head	3.6109079756e+03	4.6636581187e+05	3.1519354627e+03	1.8871435837e+04
1.9000000000e+02	head	3.6107638290e+03	4.6539587084e+05	3.1467435562e+03	1.8840350578e+04
2.0000000000e+02	head	3.6106177451e+03	4.6435151822e+05	3.1416741460e+03	1.8809998735e+04
2.1000000000e+02	head	3.6104680506e+03	4.6322507265e+05	3.1367212112e+03	1.8780344260e+04
2.2000000000e+02	head	3.6103140422e+03	4.6202081045e+05	3.1319078977e+03	1.8751525733e+04
2.3000000000e+02	head	3.6101563777e+03	4.6075063331e+05	3.1272523543e+03	1.8723651816e+04
2.4000000000e+02	head	3.6099969813e+03	4.5941573761e+05	3.1227136955e+03	1.8696477716e+04
2.5000000000e+02	head	3.6098376339e+03	4.5801494993e+05	3.1182723721e+03	1.8669886388e+04
2.6000000000e+02	head	3.6096795800e+03	4.5653709001e+05	3.1139210014e+03	1.8643833630e+04
2.7000000000e+02	head	3.5898542390e+03	4.5512526596e+05	3.1096941325e+03	1.8618526295e+04
2.8000000000e+02	head	3.3669240359e+03	4.5392542032e+05	3.1056255299e+03	1.8594166541e+04
2.9000000000e+02	head	3.2163492628e+03	4.5293404120e+05	3.1017078206e+03	1.8570710223e+04
3.0000000000e+02	head	3.1579477629e+03	4.5214205675e+05	3.0978870972e+03	1.8547834585e+04
3.1000000000e+02	head	3.1763803398e+03	4.5152954543e+05	3.0941393064e+03	1.8525395612e+04
3.2000000000e+02	head	3.1052136616e+03	4.5106586704e+05	3.0905303467e+03	1.8503787857e+04
3.3000000000e+02	head	2.9732404857e+03	4.5072198524e+05	3.0871084071e+03	1.8483299837e+04
3.4000000000e+02	head	2.8160773416e+03	4.5045509843e+05	3.0838884434e+03	1.8464021100e+04
3.5000000000e+02	head	2.6643304619e+03	4.5023146206e+05	3.0808359628e+03	1.8445745125e+04
3.6000000000e+02	head	2.5338278645e+03	4.5001450796e+05	3.0778954780e+03	1.8428139698e+04
3.7000000000e+02	head	2.4115133307e+03	4.4976554190e+05	3.0750521646e+03	1.8411116061e+04
3.8000000000e+02	head	2.2872050122e+03	4.4947367883e+05	3.0722431765e+03	1.8394297937e+04
3.9000000000e+02	head	2.1645092789e+03	4.4909170429e+05	3.0694825223e+03	1.8377769201e+04
4.0000000000e+02	head	2.0621720257e+03	4.4859677149e+05	3.0667764576e+03	1.8361567307e+04
