# Selection       : patch(inlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	areaAverage(p)
0                 	1.0000000000e+05
10                	8.7733659298e+04
20                	1.2519621079e+05
30                	7.7200314503e+04
40                	1.1933747163e+05
50                	8.7945364658e+04
60                	1.0926437138e+05
70                	9.5898536670e+04
80                	1.0381634716e+05
90                	9.9464165617e+04
100               	1.0174810118e+05
110               	1.0066047490e+05
120               	1.0116256072e+05
130               	1.0097191929e+05
140               	1.0106724748e+05
150               	1.0101484913e+05
160               	1.0111029583e+05
170               	1.0106122564e+05
180               	1.0111097500e+05
190               	1.0114098482e+05
200               	1.0113779445e+05
210               	1.0116305868e+05
220               	1.0118369182e+05
230               	1.0118944542e+05
240               	1.0119522019e+05
250               	1.0120410314e+05
260               	1.0121369196e+05
270               	1.0121800241e+05
280               	1.0121999161e+05
290               	1.0123396852e+05
300               	1.0125549043e+05
310               	1.0127106333e+05
320               	1.0129809237e+05
330               	1.0133197156e+05
340               	1.0136324507e+05
350               	1.0140587685e+05
360               	1.0144168704e+05
370               	1.0148683929e+05
380               	1.0152879027e+05
390               	1.0157714269e+05
400               	1.0161174180e+05
