# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	sum(phi)
0                 	8.5014015004e-01
10                	8.5064123711e-01
20                	8.4970401044e-01
30                	8.4993890105e-01
40                	8.5010751148e-01
50                	8.4991610341e-01
60                	8.5003697986e-01
70                	8.4996789821e-01
80                	8.5009712503e-01
90                	8.4993802013e-01
100               	8.5005017570e-01
110               	8.4997425881e-01
120               	8.5001576012e-01
130               	8.4999653956e-01
140               	8.5004131825e-01
150               	8.4995913515e-01
160               	8.5001364812e-01
170               	8.5003317601e-01
180               	8.4997787827e-01
190               	8.4997663829e-01
200               	8.5003525455e-01
210               	8.5001034136e-01
220               	8.5000752614e-01
230               	8.5004710012e-01
240               	8.5004199311e-01
250               	8.5000555152e-01
260               	8.5004340441e-01
270               	8.5006954362e-01
280               	8.5004986581e-01
290               	8.5000916566e-01
300               	8.5001475435e-01
310               	8.5000954395e-01
320               	8.4997500223e-01
330               	8.4998659253e-01
340               	8.4996816906e-01
350               	8.4994745658e-01
360               	8.4994654881e-01
370               	8.4993998367e-01
380               	8.4993704604e-01
390               	8.4993271705e-01
400               	8.4993420435e-01
