# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
0                 	3.0815000000e+02	1.1069797890e+03
10                	3.0815004213e+02	1.1285211149e+03
20                	3.0815014242e+02	1.0976288202e+03
30                	3.0815028395e+02	1.1260559179e+03
40                	3.0815049376e+02	1.1063219122e+03
50                	3.0815079633e+02	1.1222946533e+03
60                	3.0815121227e+02	1.1180445221e+03
70                	3.0815179817e+02	1.1266949469e+03
80                	3.0815259232e+02	1.1322822693e+03
90                	3.0815367690e+02	1.1416545225e+03
100               	3.0815512036e+02	1.1547571944e+03
110               	3.0815701663e+02	1.1708177104e+03
120               	3.0815943599e+02	1.1931776525e+03
130               	3.0816242446e+02	1.2197512365e+03
140               	3.0816599448e+02	1.2531917308e+03
150               	3.0817009688e+02	1.2913898653e+03
160               	3.0817462458e+02	1.3349208420e+03
170               	3.0817943213e+02	1.3823253970e+03
180               	3.0818435425e+02	1.4316518099e+03
190               	3.0818923968e+02	1.4824485151e+03
200               	3.0819394725e+02	1.5328558512e+03
210               	3.0819835336e+02	1.5812563375e+03
220               	3.0820238476e+02	1.6266199852e+03
230               	3.0820601092e+02	1.6687145365e+03
240               	3.0820925753e+02	1.7073535148e+03
250               	3.0821216667e+02	1.7426449194e+03
260               	3.0821478136e+02	1.7744528243e+03
270               	3.0821713925e+02	1.8024971086e+03
280               	3.0821931004e+02	1.8262735240e+03
290               	3.0822136035e+02	1.8466166992e+03
300               	3.0822346106e+02	1.8638997450e+03
310               	3.0822580951e+02	1.8799048991e+03
320               	3.0822867258e+02	1.8975474056e+03
330               	3.0823221660e+02	1.9192398622e+03
340               	3.0823656383e+02	1.9459165918e+03
350               	3.0824178182e+02	1.9789426634e+03
360               	3.0824781520e+02	2.0190515622e+03
370               	3.0825456581e+02	2.0665071420e+03
380               	3.0826175383e+02	2.1218976969e+03
390               	3.0826910428e+02	2.1836658052e+03
400               	3.0827615336e+02	2.2487621413e+03
