# Selection       : patch(outlet)
# Faces           : 952
# Area            : 2.2597937500e-02
# Time            	average(T)
0                 	3.0815000000e+02
10                	3.0815004213e+02
20                	3.0815014242e+02
30                	3.0815028395e+02
40                	3.0815049376e+02
50                	3.0815079633e+02
60                	3.0815121227e+02
70                	3.0815179817e+02
80                	3.0815259232e+02
90                	3.0815367690e+02
100               	3.0815512036e+02
110               	3.0815701663e+02
120               	3.0815943599e+02
130               	3.0816242446e+02
140               	3.0816599448e+02
150               	3.0817009688e+02
160               	3.0817462458e+02
170               	3.0817943213e+02
180               	3.0818435425e+02
190               	3.0818923968e+02
200               	3.0819394725e+02
210               	3.0819835336e+02
220               	3.0820238476e+02
230               	3.0820601092e+02
240               	3.0820925753e+02
250               	3.0821216667e+02
260               	3.0821478136e+02
270               	3.0821713925e+02
280               	3.0821931004e+02
290               	3.0822136035e+02
300               	3.0822346106e+02
310               	3.0822580951e+02
320               	3.0822867258e+02
330               	3.0823221660e+02
340               	3.0823656383e+02
350               	3.0824178182e+02
360               	3.0824781520e+02
370               	3.0825456581e+02
380               	3.0826175383e+02
390               	3.0826910428e+02
400               	3.0827615336e+02
