# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
0.0000000000e+00	head	2.9350590991e+03	5.6041319051e+05	2.1783459799e+03	1.3728816598e+04
1.0000000000e+01	head	2.9350010008e+03	5.4945783364e+05	2.1740763078e+03	1.3701907399e+04
2.0000000000e+01	head	2.9348753651e+03	5.4534240646e+05	2.1710108958e+03	1.3682587934e+04
3.0000000000e+01	head	2.9347466569e+03	5.3833534813e+05	2.1676544730e+03	1.3661434401e+04
4.0000000000e+01	head	2.9346019981e+03	5.2558374962e+05	2.1639612026e+03	1.3638157919e+04
5.0000000000e+01	head	2.9344744658e+03	5.0731581566e+05	2.1601060668e+03	1.3613861295e+04
6.0000000000e+01	head	2.9343462347e+03	4.8875440747e+05	2.1561061982e+03	1.3588652507e+04
7.0000000000e+01	head	2.9342199232e+03	4.6780817708e+05	2.1519524293e+03	1.3562473777e+04
8.0000000000e+01	head	2.9341183157e+03	4.5964069360e+05	2.1478585771e+03	1.3536672666e+04
9.0000000000e+01	head	2.9340498743e+03	4.5192553623e+05	2.1439086770e+03	1.3511778799e+04
1.0000000000e+02	head	2.9340101658e+03	4.4548264745e+05	2.1401747385e+03	1.3488246010e+04
1.1000000000e+02	head	2.9339916009e+03	4.4045878933e+05	2.1365655105e+03	1.3465499197e+04
1.2000000000e+02	head	2.9339871608e+03	4.3664003489e+05	2.1330351302e+03	1.3443249314e+04
1.3000000000e+02	head	2.9339881507e+03	4.3363753325e+05	2.1295783775e+03	1.3421463461e+04
1.4000000000e+02	head	2.9339898722e+03	4.3146191861e+05	2.1262221114e+03	1.3400310916e+04
1.5000000000e+02	head	2.9339897385e+03	4.3016574497e+05	2.1229122532e+03	1.3379450853e+04
1.6000000000e+02	head	2.9339876284e+03	4.2956167573e+05	2.1196436528e+03	1.3358850812e+04
1.7000000000e+02	head	2.9339834134e+03	4.2943491832e+05	2.1165999730e+03	1.3339668312e+04
1.8000000000e+02	head	2.9339782625e+03	4.2957320662e+05	2.1137369808e+03	1.3321624578e+04
1.9000000000e+02	head	2.9339736856e+03	4.2977375733e+05	2.1109700615e+03	1.3304186335e+04
2.0000000000e+02	head	2.9339713506e+03	4.2977241200e+05	2.1082847321e+03	1.3287262304e+04
2.1000000000e+02	head	2.9339714096e+03	4.2925461221e+05	2.1056791113e+03	1.3270840629e+04
2.2000000000e+02	head	2.9339721613e+03	4.2792507922e+05	2.1031546791e+03	1.3254930637e+04
2.3000000000e+02	head	2.9339720619e+03	4.2536962755e+05	2.1007364363e+03	1.3239689894e+04
2.4000000000e+02	head	2.9128915222e+03	4.2062197510e+05	2.0984417615e+03	1.3225227926e+04
2.5000000000e+02	head	2.8603934757e+03	4.1054935568e+05	2.0962878742e+03	1.3211653258e+04
2.6000000000e+02	head	2.8162642155e+03	3.9171079838e+05	2.0942566986e+03	1.3198851969e+04
2.7000000000e+02	head	2.7790452710e+03	3.9724529350e+05	2.0923622039e+03	1.3186912097e+04
2.8000000000e+02	head	2.7556042914e+03	4.0247741174e+05	2.0905804971e+03	1.3175683061e+04
2.9000000000e+02	head	2.7330377564e+03	4.0731535609e+05	2.0889010861e+03	1.3165098734e+04
3.0000000000e+02	head	2.7148272008e+03	4.1172577071e+05	2.0872951755e+03	1.3154977637e+04
3.1000000000e+02	head	2.7021108537e+03	4.1561304485e+05	2.0857671636e+03	1.3145347488e+04
3.2000000000e+02	head	2.6933848606e+03	4.1872634395e+05	2.0842611015e+03	1.3135855676e+04
3.3000000000e+02	head	2.6902954683e+03	4.2061013713e+05	2.0827724169e+03	1.3126473384e+04
3.4000000000e+02	head	2.6918618823e+03	4.2055377465e+05	2.0812696063e+03	1.3117002064e+04
3.5000000000e+02	head	2.6957695228e+03	4.1676611731e+05	2.0797817779e+03	1.3107625169e+04
3.6000000000e+02	head	2.7009995962e+03	4.0182616996e+05	2.0783387490e+03	1.3098530618e+04
3.7000000000e+02	head	2.7051976282e+03	3.8957658520e+05	2.0768978190e+03	1.3089449295e+04
3.8000000000e+02	head	2.7038255436e+03	3.8621561919e+05	2.0755271918e+03	1.3080811048e+04
3.9000000000e+02	head	2.6962442109e+03	3.8580088351e+05	2.0741978945e+03	1.3072433279e+04
4.0000000000e+02	head	2.6934928580e+03	3.8703765246e+05	2.0729347505e+03	1.3064472436e+04
4.1000000000e+02	head	2.6943946994e+03	3.8945332514e+05	2.0717454844e+03	1.3056977200e+04
4.2000000000e+02	head	2.7045703577e+03	3.9261251834e+05	2.0706112157e+03	1.3049828580e+04
4.3000000000e+02	head	2.7323074269e+03	3.9615513238e+05	2.0695084031e+03	1.3042878210e+04
4.4000000000e+02	head	2.7681474182e+03	3.9978721116e+05	2.0684338412e+03	1.3036105886e+04
4.5000000000e+02	head	2.8017204961e+03	4.0322302667e+05	2.0673762597e+03	1.3029440580e+04
4.6000000000e+02	head	2.8234879370e+03	4.0627974548e+05	2.0662954731e+03	1.3022629027e+04
4.7000000000e+02	head	2.8120462595e+03	4.0880976565e+05	2.0651576151e+03	1.3015457785e+04
4.8000000000e+02	head	2.7562583916e+03	4.1089765432e+05	2.0640543263e+03	1.3008504414e+04
4.9000000000e+02	head	2.7063099951e+03	4.1296375411e+05	2.0629997537e+03	1.3001858071e+04
5.0000000000e+02	head	2.6573785457e+03	4.1537685956e+05	2.0619612400e+03	1.2995312938e+04
5.1000000000e+02	head	2.6036087967e+03	4.1834566531e+05	2.0609077361e+03	1.2988673331e+04
5.2000000000e+02	head	2.5376874319e+03	4.2179833905e+05	2.0598322523e+03	1.2981895198e+04
5.3000000000e+02	head	2.4505452612e+03	4.2545749941e+05	2.0587670535e+03	1.2975181884e+04
5.4000000000e+02	head	2.3929269138e+03	4.2924542064e+05	2.0576716787e+03	1.2968278390e+04
5.5000000000e+02	head	2.3748479567e+03	4.3317953962e+05	2.0564929963e+03	1.2960849857e+04
5.6000000000e+02	head	2.3937447369e+03	4.3725959195e+05	2.0552742318e+03	1.2953168710e+04
5.7000000000e+02	head	2.4280069139e+03	4.4149992223e+05	2.0540482898e+03	1.2945442328e+04
5.8000000000e+02	head	2.4689528104e+03	4.4597076311e+05	2.0528030736e+03	1.2937594473e+04
5.9000000000e+02	head	2.5110466429e+03	4.5061182856e+05	2.0515618880e+03	1.2929772019e+04
6.0000000000e+02	head	2.5508293994e+03	4.5529611387e+05	2.0503914124e+03	1.2922395210e+04
6.1000000000e+02	head	2.5879093011e+03	4.5990772020e+05	2.0492750518e+03	1.2915359454e+04
6.2000000000e+02	head	2.6228145870e+03	4.6433580229e+05	2.0482189851e+03	1.2908703695e+04
6.3000000000e+02	head	2.6564667842e+03	4.6847583510e+05	2.0472315382e+03	1.2902480405e+04
6.4000000000e+02	head	2.6909610720e+03	4.7227867882e+05	2.0463084081e+03	1.2896662466e+04
6.5000000000e+02	head	2.7273495686e+03	4.7573315261e+05	2.0454064296e+03	1.2890977833e+04
6.6000000000e+02	head	2.7660736503e+03	4.7884449012e+05	2.0445123269e+03	1.2885342837e+04
6.7000000000e+02	head	2.8069261128e+03	4.8162269999e+05	2.0436019395e+03	1.2879605208e+04
6.8000000000e+02	head	2.8489685526e+03	4.8407081251e+05	2.0426644782e+03	1.2873696948e+04
6.9000000000e+02	head	2.8909370380e+03	4.8618631321e+05	2.0417621063e+03	1.2868009835e+04
7.0000000000e+02	head	2.9313065306e+03	4.8799823930e+05	2.0408888800e+03	1.2862506410e+04
7.1000000000e+02	head	2.9321559916e+03	4.8957659233e+05	2.0400161603e+03	1.2857006178e+04
7.2000000000e+02	head	2.9321097106e+03	4.9099721300e+05	2.0391233969e+03	1.2851379622e+04
7.3000000000e+02	head	2.9320648728e+03	4.9231923370e+05	2.0382672973e+03	1.2845984137e+04
7.4000000000e+02	head	2.9302088189e+03	4.9356991550e+05	2.0374222550e+03	1.2840658338e+04
7.5000000000e+02	head	2.9131379927e+03	4.9474809990e+05	2.0365692589e+03	1.2835282413e+04
7.6000000000e+02	head	2.9076226709e+03	4.9582957184e+05	2.0357196881e+03	1.2829928074e+04
7.7000000000e+02	head	2.9054502494e+03	4.9677604470e+05	2.0348652195e+03	1.2824542868e+04
7.8000000000e+02	head	2.8909916180e+03	4.9759518268e+05	2.0340421785e+03	1.2819355731e+04
7.9000000000e+02	head	2.8825861548e+03	4.9838110288e+05	2.0332394403e+03	1.2814296550e+04
8.0000000000e+02	head	2.8911616670e+03	4.9922084685e+05	2.0324262409e+03	1.2809171439e+04
