# Selection       : patch(inlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	areaAverage(p)
0                 	1.0000000000e+05
10                	9.3239198201e+04
20                	1.1724152789e+05
30                	8.4817490389e+04
40                	1.1382315427e+05
50                	9.1926549331e+04
60                	1.0696413108e+05
70                	9.7339574746e+04
80                	1.0320909103e+05
90                	9.9796694566e+04
100               	1.0174558382e+05
110               	1.0072027894e+05
120               	1.0129986537e+05
130               	1.0101791999e+05
140               	1.0122626870e+05
150               	1.0112070269e+05
160               	1.0122691119e+05
170               	1.0121635135e+05
180               	1.0124022955e+05
190               	1.0129147774e+05
200               	1.0129593385e+05
210               	1.0134266051e+05
220               	1.0136186358e+05
230               	1.0138510937e+05
240               	1.0141448839e+05
250               	1.0144106686e+05
260               	1.0146726572e+05
270               	1.0150836184e+05
280               	1.0154023795e+05
290               	1.0158210910e+05
300               	1.0161512141e+05
310               	1.0163767514e+05
320               	1.0165493894e+05
330               	1.0166218721e+05
340               	1.0167154739e+05
350               	1.0168882251e+05
360               	1.0170854577e+05
370               	1.0173998867e+05
380               	1.0175758093e+05
390               	1.0177568812e+05
400               	1.0179535386e+05
410               	1.0180986606e+05
420               	1.0180483480e+05
430               	1.0179356872e+05
440               	1.0177608206e+05
450               	1.0174483782e+05
460               	1.0172615009e+05
470               	1.0169645526e+05
480               	1.0168205763e+05
490               	1.0167336217e+05
500               	1.0165289988e+05
510               	1.0164643658e+05
520               	1.0164817316e+05
530               	1.0166386349e+05
540               	1.0167841486e+05
550               	1.0169854047e+05
560               	1.0172491150e+05
570               	1.0174678515e+05
580               	1.0176796334e+05
590               	1.0178586303e+05
600               	1.0180294623e+05
610               	1.0181622877e+05
620               	1.0183761660e+05
630               	1.0184484879e+05
640               	1.0184401846e+05
650               	1.0183952467e+05
660               	1.0183112330e+05
670               	1.0182697321e+05
680               	1.0183634532e+05
690               	1.0184766575e+05
700               	1.0186862005e+05
710               	1.0190020491e+05
720               	1.0192009139e+05
730               	1.0193286192e+05
740               	1.0192489742e+05
750               	1.0189991515e+05
760               	1.0188619490e+05
770               	1.0185944124e+05
780               	1.0184238350e+05
790               	1.0183174867e+05
800               	1.0183027264e+05
