# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	sum(phi)
0                 	8.5014015004e-01
10                	8.5052196425e-01
20                	8.5000421521e-01
30                	8.4985922365e-01
40                	8.5012736438e-01
50                	8.5029144990e-01
60                	8.5000806520e-01
70                	8.4991614841e-01
80                	8.4999022139e-01
90                	8.4993170676e-01
100               	8.5004531630e-01
110               	8.4995874829e-01
120               	8.5005475857e-01
130               	8.4994970687e-01
140               	8.5003249796e-01
150               	8.5001440800e-01
160               	8.4994698634e-01
170               	8.5004491639e-01
180               	8.4995856581e-01
190               	8.4997334580e-01
200               	8.4997678616e-01
210               	8.4995242551e-01
220               	8.4996495367e-01
230               	8.4997625523e-01
240               	8.4994671678e-01
250               	8.4993811685e-01
260               	8.4993428591e-01
270               	8.4992774927e-01
280               	8.4993308744e-01
290               	8.4992561380e-01
300               	8.4991576270e-01
310               	8.4992415314e-01
320               	8.4994192215e-01
330               	8.4994026886e-01
340               	8.4993903507e-01
350               	8.4992408031e-01
360               	8.4994912653e-01
370               	8.4996177624e-01
380               	8.4995525061e-01
390               	8.4997180297e-01
400               	8.4996666762e-01
410               	8.5003196421e-01
420               	8.5009838735e-01
430               	8.5011481978e-01
440               	8.5009499686e-01
450               	8.5009006628e-01
460               	8.5009005607e-01
470               	8.5008982298e-01
480               	8.5007980508e-01
490               	8.5008056077e-01
500               	8.5007647720e-01
510               	8.5006817256e-01
520               	8.4997403048e-01
530               	8.5001907960e-01
540               	8.4994992027e-01
550               	8.4993826211e-01
560               	8.4992652199e-01
570               	8.4991374429e-01
580               	8.4994241292e-01
590               	8.4994776838e-01
600               	8.4993178111e-01
610               	8.4992206526e-01
620               	8.4991244775e-01
630               	8.4997833798e-01
640               	8.4998124746e-01
650               	8.5000849591e-01
660               	8.4998197248e-01
670               	8.4995209817e-01
680               	8.4995062782e-01
690               	8.4992397088e-01
700               	8.4995066883e-01
710               	8.4993623915e-01
720               	8.4993835705e-01
730               	8.5003963258e-01
740               	8.5007164908e-01
750               	8.5006374128e-01
760               	8.5004789637e-01
770               	8.5004984398e-01
780               	8.5006556633e-01
790               	8.5003030440e-01
800               	8.4993450050e-01
