# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
0                 	3.0815000000e+02	1.1069797890e+03
10                	3.0815011818e+02	1.1309315886e+03
20                	3.0815041324e+02	1.1013211240e+03
30                	3.0815089324e+02	1.1316692291e+03
40                	3.0815169247e+02	1.1163240240e+03
50                	3.0815305832e+02	1.1438966625e+03
60                	3.0815519994e+02	1.1497120230e+03
70                	3.0815830216e+02	1.1871460994e+03
80                	3.0816253133e+02	1.2183436117e+03
90                	3.0816787177e+02	1.2732713036e+03
100               	3.0817400957e+02	1.3309152225e+03
110               	3.0818063902e+02	1.3979988745e+03
120               	3.0818717054e+02	1.4654260319e+03
130               	3.0819316753e+02	1.5280758278e+03
140               	3.0819827408e+02	1.5816479547e+03
150               	3.0820257076e+02	1.6248427623e+03
160               	3.0820635662e+02	1.6602387620e+03
170               	3.0821003374e+02	1.6941115406e+03
180               	3.0821392113e+02	1.7293103617e+03
190               	3.0821810483e+02	1.7687567248e+03
200               	3.0822257360e+02	1.8116959367e+03
210               	3.0822729038e+02	1.8578731027e+03
220               	3.0823230498e+02	1.9045711666e+03
230               	3.0823775343e+02	1.9532095442e+03
240               	3.0824388635e+02	2.0028724412e+03
250               	3.0825096806e+02	2.0564763236e+03
260               	3.0825908501e+02	2.1154921388e+03
270               	3.0826807766e+02	2.1840996151e+03
280               	3.0827742232e+02	2.2593676938e+03
290               	3.0828638007e+02	2.3345587711e+03
300               	3.0829448189e+02	2.4071923810e+03
310               	3.0830131672e+02	2.4667867964e+03
320               	3.0830706011e+02	2.5122900972e+03
330               	3.0831265939e+02	2.5463912475e+03
340               	3.0831920826e+02	2.5838295218e+03
350               	3.0832760654e+02	2.6351073377e+03
360               	3.0833812540e+02	2.7070866666e+03
370               	3.0835031158e+02	2.8046265798e+03
380               	3.0836320183e+02	2.9253891338e+03
390               	3.0837560254e+02	3.0560088550e+03
400               	3.0838594475e+02	3.1865155085e+03
410               	3.0839294798e+02	3.3008513701e+03
420               	3.0839598232e+02	3.3777917206e+03
430               	3.0839496119e+02	3.4091014305e+03
440               	3.0839049019e+02	3.4005524151e+03
450               	3.0838423168e+02	3.3529067376e+03
460               	3.0837734602e+02	3.2855141710e+03
470               	3.0837126846e+02	3.2038407045e+03
480               	3.0836670586e+02	3.1247674093e+03
490               	3.0836370022e+02	3.0515838538e+03
500               	3.0836243213e+02	2.9771667166e+03
510               	3.0836292603e+02	2.9139889413e+03
520               	3.0836495285e+02	2.8667781712e+03
530               	3.0836895938e+02	2.8459656458e+03
540               	3.0837435339e+02	2.8435868219e+03
550               	3.0838103163e+02	2.8648485003e+03
560               	3.0838855732e+02	2.9086120920e+03
570               	3.0839604981e+02	2.9637063428e+03
580               	3.0840271323e+02	3.0225809785e+03
590               	3.0840837728e+02	3.0775551488e+03
600               	3.0841263200e+02	3.1291626491e+03
610               	3.0841551305e+02	3.1696939689e+03
620               	3.0841783052e+02	3.2026872304e+03
630               	3.0841903950e+02	3.2244462812e+03
640               	3.0841976969e+02	3.2377700104e+03
650               	3.0842132150e+02	3.2478639098e+03
660               	3.0842462799e+02	3.2605655282e+03
670               	3.0842996347e+02	3.2848708805e+03
680               	3.0843605059e+02	3.3227173513e+03
690               	3.0844281542e+02	3.3731757238e+03
700               	3.0844903531e+02	3.4328154869e+03
710               	3.0845433219e+02	3.5021200858e+03
720               	3.0845771400e+02	3.5636071212e+03
730               	3.0845828005e+02	3.6107955294e+03
740               	3.0845561008e+02	3.6256348747e+03
750               	3.0844976582e+02	3.6018428670e+03
760               	3.0844263975e+02	3.5427164094e+03
770               	3.0843596567e+02	3.4660400012e+03
780               	3.0843145102e+02	3.3882534664e+03
790               	3.0843017070e+02	3.3219152926e+03
800               	3.0843295930e+02	3.2819381276e+03
