# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)
0                 	3.0815000000e+02
10                	3.0815011818e+02
20                	3.0815041324e+02
30                	3.0815089324e+02
40                	3.0815169247e+02
50                	3.0815305832e+02
60                	3.0815519994e+02
70                	3.0815830216e+02
80                	3.0816253133e+02
90                	3.0816787177e+02
100               	3.0817400957e+02
110               	3.0818063902e+02
120               	3.0818717054e+02
130               	3.0819316753e+02
140               	3.0819827408e+02
150               	3.0820257076e+02
160               	3.0820635662e+02
170               	3.0821003374e+02
180               	3.0821392113e+02
190               	3.0821810483e+02
200               	3.0822257360e+02
210               	3.0822729038e+02
220               	3.0823230498e+02
230               	3.0823775343e+02
240               	3.0824388635e+02
250               	3.0825096806e+02
260               	3.0825908501e+02
270               	3.0826807766e+02
280               	3.0827742232e+02
290               	3.0828638007e+02
300               	3.0829448189e+02
310               	3.0830131672e+02
320               	3.0830706011e+02
330               	3.0831265939e+02
340               	3.0831920826e+02
350               	3.0832760654e+02
360               	3.0833812540e+02
370               	3.0835031158e+02
380               	3.0836320183e+02
390               	3.0837560254e+02
400               	3.0838594475e+02
410               	3.0839294798e+02
420               	3.0839598232e+02
430               	3.0839496119e+02
440               	3.0839049019e+02
450               	3.0838423168e+02
460               	3.0837734602e+02
470               	3.0837126846e+02
480               	3.0836670586e+02
490               	3.0836370022e+02
500               	3.0836243213e+02
510               	3.0836292603e+02
520               	3.0836495285e+02
530               	3.0836895938e+02
540               	3.0837435339e+02
550               	3.0838103163e+02
560               	3.0838855732e+02
570               	3.0839604981e+02
580               	3.0840271323e+02
590               	3.0840837728e+02
600               	3.0841263200e+02
610               	3.0841551305e+02
620               	3.0841783052e+02
630               	3.0841903950e+02
640               	3.0841976969e+02
650               	3.0842132150e+02
660               	3.0842462799e+02
670               	3.0842996347e+02
680               	3.0843605059e+02
690               	3.0844281542e+02
700               	3.0844903531e+02
710               	3.0845433219e+02
720               	3.0845771400e+02
730               	3.0845828005e+02
740               	3.0845561008e+02
750               	3.0844976582e+02
760               	3.0844263975e+02
770               	3.0843596567e+02
780               	3.0843145102e+02
790               	3.0843017070e+02
800               	3.0843295930e+02
