# Wall heat-flux
# Time              	patch               	min [W/m^2]         	max [W/m^2]         	Q [W]               	q [W/m^2]
0.000000000000e+00	hotFins	1.241199428571e+06	1.241199428571e+06	3.842753430857e+04	1.241199428571e+06
2.500000000000e+01	hotFins	4.258300382934e+04	5.543624420613e+04	1.708440368160e+03	5.518218243412e+04
5.000000000000e+01	hotFins	4.260594256984e+04	5.449882229827e+04	1.609915965428e+03	5.199986968436e+04
7.500000000000e+01	hotFins	4.262119314969e+04	5.452830379630e+04	1.531359351021e+03	4.946251133789e+04
1.000000000000e+02	hotFins	4.262911646163e+04	5.456013490160e+04	1.471798587347e+03	4.753871406159e+04
1.250000000000e+02	hotFins	4.263370715040e+04	5.457889178245e+04	1.426346482465e+03	4.607062281865e+04
1.500000000000e+02	hotFins	4.263660303448e+04	5.458991756732e+04	1.391196168752e+03	4.493527676848e+04
1.750000000000e+02	hotFins	4.201143434009e+04	5.459671960090e+04	1.364342965138e+03	4.406792523057e+04
2.000000000000e+02	hotFins	4.110624899433e+04	5.460167529978e+04	1.345112433764e+03	4.344678403632e+04
2.250000000000e+02	hotFins	4.041808599929e+04	5.460614149568e+04	1.330617633743e+03	4.297860574104e+04
2.500000000000e+02	hotFins	3.982861165302e+04	5.461051667132e+04	1.318762101286e+03	4.259567510614e+04
2.750000000000e+02	hotFins	3.924739710832e+04	5.461493803132e+04	1.308936573478e+03	4.227831309685e+04
3.000000000000e+02	hotFins	3.873198550745e+04	5.461940696685e+04	1.300745072360e+03	4.201372972738e+04
3.250000000000e+02	hotFins	3.827323479539e+04	5.462385192419e+04	1.293809452687e+03	4.178971100411e+04
3.500000000000e+02	hotFins	3.786010348570e+04	5.462821507957e+04	1.287842101004e+03	4.159696708669e+04
3.750000000000e+02	hotFins	3.748694044186e+04	5.463247876937e+04	1.282669799241e+03	4.142990307625e+04
4.000000000000e+02	hotFins	3.714941096180e+04	5.463665678936e+04	1.278203681410e+03	4.128564862434e+04
4.250000000000e+02	hotFins	3.684328131777e+04	5.464076402307e+04	1.274387646949e+03	4.116239169732e+04
4.500000000000e+02	hotFins	3.656315976436e+04	5.464480320558e+04	1.271175086209e+03	4.105862681553e+04
4.750000000000e+02	hotFins	3.630506116437e+04	5.464878266488e+04	1.268525762178e+03	4.097305433392e+04
5.000000000000e+02	hotFins	3.606483588024e+04	5.465270536631e+04	1.266404452602e+03	4.090453658274e+04
5.250000000000e+02	hotFins	3.583898721574e+04	5.465656471187e+04	1.264777457335e+03	4.085198505603e+04
5.500000000000e+02	hotFins	3.562462332154e+04	5.466034150341e+04	1.263604990908e+03	4.081411469342e+04
5.750000000000e+02	hotFins	3.541918020334e+04	5.466399221492e+04	1.262831500575e+03	4.078913115551e+04
6.000000000000e+02	hotFins	3.522428235366e+04	5.466744065794e+04	1.262380818760e+03	4.077457424935e+04
6.250000000000e+02	hotFins	3.508585671429e+04	5.467058746102e+04	1.262162417989e+03	4.076751996090e+04
6.500000000000e+02	hotFins	3.500618013868e+04	5.467334234819e+04	1.262087447396e+03	4.076509843010e+04
6.750000000000e+02	hotFins	3.496898472760e+04	5.467564423869e+04	1.262084785489e+03	4.076501245118e+04
7.000000000000e+02	hotFins	3.495604577077e+04	5.467748291723e+04	1.262108632350e+03	4.076578269863e+04
7.250000000000e+02	hotFins	3.495353868368e+04	5.467889233189e+04	1.262135847080e+03	4.076666172738e+04
7.500000000000e+02	hotFins	3.495411239600e+04	5.467993578867e+04	1.262158115513e+03	4.076738099204e+04
7.750000000000e+02	hotFins	3.495474653282e+04	5.468068721448e+04	1.262174361129e+03	4.076790572122e+04
8.000000000000e+02	hotFins	3.495479623137e+04	5.468121701980e+04	1.262185914973e+03	4.076827890738e+04
8.250000000000e+02	hotFins	3.495443246924e+04	5.468158477434e+04	1.262194329016e+03	4.076855067883e+04
8.500000000000e+02	hotFins	3.495392902411e+04	5.468183715158e+04	1.262200737244e+03	4.076875766292e+04
8.750000000000e+02	hotFins	3.495345981113e+04	5.468200890254e+04	1.262205841312e+03	4.076892252300e+04
9.000000000000e+02	hotFins	3.495309685134e+04	5.468212502187e+04	1.262210046932e+03	4.076905836343e+04
9.250000000000e+02	hotFins	3.495285178391e+04	5.468220310540e+04	1.262213587646e+03	4.076917272759e+04
9.500000000000e+02	hotFins	3.495270948678e+04	5.468225531554e+04	1.262216601572e+03	4.076927007660e+04
9.750000000000e+02	hotFins	3.495264698718e+04	5.468228999979e+04	1.262219176839e+03	4.076935325706e+04
1.000000000000e+03	hotFins	3.495264199791e+04	5.468231285176e+04	1.262221374781e+03	4.076942425004e+04
1.025000000000e+03	hotFins	3.495267596788e+04	5.468232773835e+04	1.262223242374e+03	4.076948457282e+04
1.050000000000e+03	hotFins	3.495273442479e+04	5.468233726509e+04	1.262224818399e+03	4.076953547800e+04
1.075000000000e+03	hotFins	3.495280681176e+04	5.468234321275e+04	1.262226136928e+03	4.076957806616e+04
1.100000000000e+03	hotFins	3.495288539840e+04	5.468234677164e+04	1.262227228549e+03	4.076961332523e+04
1.125000000000e+03	hotFins	3.495296467183e+04	5.468234875534e+04	1.262228121528e+03	4.076964216822e+04
1.150000000000e+03	hotFins	3.495304076957e+04	5.468234971213e+04	1.262228842212e+03	4.076966544613e+04
1.175000000000e+03	hotFins	3.495311108391e+04	5.468235001654e+04	1.262229415291e+03	4.076968395644e+04
1.200000000000e+03	hotFins	3.495317395862e+04	5.468234991414e+04	1.262229863441e+03	4.076969843156e+04
