# Selection         : patch(inlet)
# Faces             : 96
# Area              : 3.870000000000e-04
# Time              	sum(phi)
0                   	-2.701214798438e-02
25                  	-2.715433896543e-02
50                  	-2.725636176475e-02
75                  	-2.731842767527e-02
100                 	-2.735557079063e-02
125                 	-2.737747704153e-02
150                 	-2.739047352918e-02
175                 	-2.739838453507e-02
200                 	-2.740358528013e-02
225                 	-2.740769117997e-02
250                 	-2.741141947574e-02
275                 	-2.741502963010e-02
300                 	-2.741860606288e-02
325                 	-2.742214331824e-02
350                 	-2.742560623914e-02
375                 	-2.742897642021e-02
400                 	-2.743226147741e-02
425                 	-2.743547717622e-02
450                 	-2.743863427830e-02
475                 	-2.744173946307e-02
500                 	-2.744479706573e-02
525                 	-2.744780722046e-02
550                 	-2.745076160189e-02
575                 	-2.745363589361e-02
600                 	-2.745638308259e-02
625                 	-2.745893527189e-02
650                 	-2.746121807895e-02
675                 	-2.746317162549e-02
700                 	-2.746476850040e-02
725                 	-2.746601829179e-02
750                 	-2.746695983269e-02
775                 	-2.746764721134e-02
800                 	-2.746813686260e-02
825                 	-2.746847929136e-02
850                 	-2.746871555327e-02
875                 	-2.746887696997e-02
900                 	-2.746898644179e-02
925                 	-2.746906024782e-02
950                 	-2.746910973583e-02
975                 	-2.746914272445e-02
1000                	-2.746916455665e-02
1025                	-2.746917886420e-02
1050                	-2.746918811258e-02
1075                	-2.746919396682e-02
1100                	-2.746919755499e-02
1125                	-2.746919963933e-02
1150                	-2.746920073641e-02
1175                	-2.746920119637e-02
1200                	-2.746920125549e-02
