# Selection         : patch(inlet)
# Faces             : 96
# Area              : 3.870000000000e-04
# Time              	areaAverage(p)
0                   	1.000000000000e+05
25                  	1.015073385952e+05
50                  	1.014799627334e+05
75                  	1.014837506435e+05
100                 	1.014780359118e+05
125                 	1.014745547816e+05
150                 	1.014736653206e+05
175                 	1.014753430039e+05
200                 	1.014817057185e+05
225                 	1.014923281710e+05
250                 	1.015045886649e+05
275                 	1.015175386632e+05
300                 	1.015305890342e+05
325                 	1.015432709255e+05
350                 	1.015554552761e+05
375                 	1.015672643979e+05
400                 	1.015788615100e+05
425                 	1.015903156556e+05
450                 	1.016015956094e+05
475                 	1.016127338602e+05
500                 	1.016237175889e+05
525                 	1.016344981982e+05
550                 	1.016449684576e+05
575                 	1.016548948284e+05
600                 	1.016639300970e+05
625                 	1.016716979878e+05
650                 	1.016779542542e+05
675                 	1.016826522239e+05
700                 	1.016859648372e+05
725                 	1.016881807659e+05
750                 	1.016896081187e+05
775                 	1.016905084673e+05
800                 	1.016910726021e+05
825                 	1.016914271693e+05
850                 	1.016916517526e+05
875                 	1.016917951352e+05
900                 	1.016918871027e+05
925                 	1.016919460881e+05
950                 	1.016919836688e+05
975                 	1.016920071614e+05
1000                	1.016920213468e+05
1025                	1.016920295116e+05
1050                	1.016920335903e+05
1075                	1.016920351055e+05
1100                	1.016920349505e+05
1125                	1.016920337958e+05
1150                	1.016920320781e+05
1175                	1.016920300961e+05
1200                	1.016920279989e+05
