# Selection         : patch(outlet)
# Faces             : 96
# Area              : 3.870000000000e-04
# Time              	sum(phi)
0                   	2.701214798438e-02
25                  	2.715433274135e-02
50                  	2.725636863249e-02
75                  	2.731842980009e-02
100                 	2.735557141376e-02
125                 	2.737747810157e-02
150                 	2.739047434761e-02
175                 	2.739838549044e-02
200                 	2.740358639890e-02
225                 	2.740769092163e-02
250                 	2.741141847010e-02
275                 	2.741502918592e-02
300                 	2.741860538003e-02
325                 	2.742214267135e-02
350                 	2.742560556328e-02
375                 	2.742897601010e-02
400                 	2.743226111928e-02
425                 	2.743547696365e-02
450                 	2.743863410285e-02
475                 	2.744173933431e-02
500                 	2.744479695859e-02
525                 	2.744780699967e-02
550                 	2.745076144720e-02
575                 	2.745363581440e-02
600                 	2.745638289519e-02
625                 	2.745893510578e-02
650                 	2.746121795140e-02
675                 	2.746317156216e-02
700                 	2.746476841505e-02
725                 	2.746601820139e-02
750                 	2.746695976754e-02
775                 	2.746764716931e-02
800                 	2.746813683679e-02
825                 	2.746847927613e-02
850                 	2.746871554478e-02
875                 	2.746887696535e-02
900                 	2.746898643927e-02
925                 	2.746906023708e-02
950                 	2.746910972879e-02
975                 	2.746914271687e-02
1000                	2.746916453144e-02
1025                	2.746917886155e-02
1050                	2.746918811002e-02
1075                	2.746919397583e-02
1100                	2.746919756258e-02
1125                	2.746919964718e-02
1150                	2.746920074141e-02
1175                	2.746920119863e-02
1200                	2.746920125479e-02
