# Selection         : patch(outlet)
# Faces             : 96
# Area              : 3.870000000000e-04
# Time              	areaAverage(p)
0                   	1.000000000000e+05
25                  	1.000000000000e+05
50                  	1.000000000000e+05
75                  	1.000000000000e+05
100                 	1.000000000000e+05
125                 	1.000000000000e+05
150                 	1.000000000000e+05
175                 	1.000000000000e+05
200                 	1.000000000000e+05
225                 	1.000000000000e+05
250                 	1.000000000000e+05
275                 	1.000000000000e+05
300                 	1.000000000000e+05
325                 	1.000000000000e+05
350                 	1.000000000000e+05
375                 	1.000000000000e+05
400                 	1.000000000000e+05
425                 	1.000000000000e+05
450                 	1.000000000000e+05
475                 	1.000000000000e+05
500                 	1.000000000000e+05
525                 	1.000000000000e+05
550                 	1.000000000000e+05
575                 	1.000000000000e+05
600                 	1.000000000000e+05
625                 	1.000000000000e+05
650                 	1.000000000000e+05
675                 	1.000000000000e+05
700                 	1.000000000000e+05
725                 	1.000000000000e+05
750                 	1.000000000000e+05
775                 	1.000000000000e+05
800                 	1.000000000000e+05
825                 	1.000000000000e+05
850                 	1.000000000000e+05
875                 	1.000000000000e+05
900                 	1.000000000000e+05
925                 	1.000000000000e+05
950                 	1.000000000000e+05
975                 	1.000000000000e+05
1000                	1.000000000000e+05
1025                	1.000000000000e+05
1050                	1.000000000000e+05
1075                	1.000000000000e+05
1100                	1.000000000000e+05
1125                	1.000000000000e+05
1150                	1.000000000000e+05
1175                	1.000000000000e+05
1200                	1.000000000000e+05
