# Selection         : patch(outlet)
# Faces             : 96
# Area              : 3.870000000000e-04
# Time              	areaAverage(T)
0                   	3.081500000000e+02
25                  	3.104682148331e+02
50                  	3.128655159825e+02
75                  	3.150511990768e+02
100                 	3.170921701199e+02
125                 	3.190315346072e+02
150                 	3.208990612565e+02
175                 	3.227192168476e+02
200                 	3.245168319206e+02
225                 	3.263020815643e+02
250                 	3.280774592320e+02
275                 	3.298451716954e+02
300                 	3.316084605726e+02
325                 	3.333699435737e+02
350                 	3.351230312804e+02
375                 	3.368553170634e+02
400                 	3.385636887612e+02
425                 	3.402570974268e+02
450                 	3.419433343131e+02
475                 	3.436250886163e+02
500                 	3.452998920664e+02
525                 	3.469497893071e+02
550                 	3.485251331418e+02
575                 	3.499406902242e+02
600                 	3.511010186006e+02
625                 	3.519462726109e+02
650                 	3.524833836547e+02
675                 	3.527775918592e+02
700                 	3.529156570573e+02
725                 	3.529713727670e+02
750                 	3.529914814567e+02
775                 	3.529990603768e+02
800                 	3.530030201962e+02
825                 	3.530059231425e+02
850                 	3.530082168120e+02
875                 	3.530099053873e+02
900                 	3.530110082951e+02
925                 	3.530116094533e+02
950                 	3.530118210195e+02
975                 	3.530117521874e+02
1000                	3.530114948367e+02
1025                	3.530111202361e+02
1050                	3.530106809419e+02
1075                	3.530102145060e+02
1100                	3.530097471420e+02
1125                	3.530092968768e+02
1150                	3.530088759143e+02
1175                	3.530084923311e+02
1200                	3.530081511417e+02
