# Wall heat-flux
# Time              	patch               	min [W/m^2]         	max [W/m^2]         	Q [W]               	q [W/m^2]
1.200000000000e+03	hotFins	3.592768997208e+04	6.498514606458e+04	1.261939943892e+03	4.076033410504e+04
1.225000000000e+03	hotFins	3.583694009283e+04	6.498517370609e+04	1.261591896492e+03	4.074909226394e+04
1.250000000000e+03	hotFins	3.574746180719e+04	6.498520066778e+04	1.261325081653e+03	4.074047421360e+04
1.275000000000e+03	hotFins	3.565895701389e+04	6.498522669944e+04	1.261130310149e+03	4.073418314433e+04
1.300000000000e+03	hotFins	3.557001951334e+04	6.498525150451e+04	1.260996924210e+03	4.072987481298e+04
1.325000000000e+03	hotFins	3.549618872531e+04	6.498527475992e+04	1.260913432132e+03	4.072717804043e+04
1.350000000000e+03	hotFins	3.544031531074e+04	6.498529614729e+04	1.260868240892e+03	4.072571837505e+04
1.375000000000e+03	hotFins	3.540096358331e+04	6.498531539007e+04	1.260850412807e+03	4.072514253252e+04
1.400000000000e+03	hotFins	3.537562706279e+04	6.498533228726e+04	1.260850429768e+03	4.072514308034e+04
1.425000000000e+03	hotFins	3.536101397473e+04	6.498534674097e+04	1.260860617608e+03	4.072547214496e+04
1.450000000000e+03	hotFins	3.535421498383e+04	6.498535876859e+04	1.260875354031e+03	4.072594812761e+04
1.475000000000e+03	hotFins	3.535236311763e+04	6.498536849714e+04	1.260890925172e+03	4.072645107144e+04
1.500000000000e+03	hotFins	3.535318040294e+04	6.498537614318e+04	1.260905234984e+03	4.072691327466e+04
1.525000000000e+03	hotFins	3.535507141152e+04	6.498538198431e+04	1.260917363764e+03	4.072730503114e+04
1.550000000000e+03	hotFins	3.535706877605e+04	6.498538632528e+04	1.260927192343e+03	4.072762249170e+04
1.575000000000e+03	hotFins	3.535871621535e+04	6.498538946858e+04	1.260934972372e+03	4.072787378461e+04
1.600000000000e+03	hotFins	3.535987093006e+04	6.498539169101e+04	1.260941144164e+03	4.072807313192e+04
1.625000000000e+03	hotFins	3.536057198313e+04	6.498539322973e+04	1.260946127099e+03	4.072823407941e+04
1.650000000000e+03	hotFins	3.536093617053e+04	6.498539427682e+04	1.260950273135e+03	4.072836799531e+04
1.675000000000e+03	hotFins	3.536108758499e+04	6.498539498007e+04	1.260953838571e+03	4.072848315797e+04
1.700000000000e+03	hotFins	3.536112616884e+04	6.498539544837e+04	1.260956993867e+03	4.072858507321e+04
1.725000000000e+03	hotFins	3.536111944056e+04	6.498539575887e+04	1.260959843966e+03	4.072867713069e+04
1.750000000000e+03	hotFins	3.536110635831e+04	6.498539596452e+04	1.260962453026e+03	4.072876140265e+04
1.775000000000e+03	hotFins	3.536110535598e+04	6.498539610067e+04	1.260964856540e+03	4.072883903552e+04
1.800000000000e+03	hotFins	3.536112232773e+04	6.498539619049e+04	1.260967077410e+03	4.072891076906e+04
1.825000000000e+03	hotFins	3.536115661220e+04	6.498539624906e+04	1.260969131164e+03	4.072897710476e+04
1.850000000000e+03	hotFins	3.536120482364e+04	6.498539628617e+04	1.260971030300e+03	4.072903844637e+04
1.875000000000e+03	hotFins	3.536126300747e+04	6.498539630827e+04	1.260972785958e+03	4.072909515369e+04
1.900000000000e+03	hotFins	3.536132760954e+04	6.498539631965e+04	1.260974408708e+03	4.072914756808e+04
1.925000000000e+03	hotFins	3.536139582002e+04	6.498539632330e+04	1.260975908685e+03	4.072919601695e+04
1.950000000000e+03	hotFins	3.536146558650e+04	6.498539632130e+04	1.260977295576e+03	4.072924081317e+04
1.975000000000e+03	hotFins	3.536153550073e+04	6.498539631519e+04	1.260978578419e+03	4.072928224868e+04
2.000000000000e+03	hotFins	3.536160465555e+04	6.498539630610e+04	1.260979765588e+03	4.072932059391e+04
2.025000000000e+03	hotFins	3.536167251233e+04	6.498539629489e+04	1.260980864874e+03	4.072935610059e+04
2.050000000000e+03	hotFins	3.536173878449e+04	6.498539628220e+04	1.260981882408e+03	4.072938896665e+04
2.075000000000e+03	hotFins	3.536180335069e+04	6.498539626850e+04	1.260982825134e+03	4.072941941646e+04
2.100000000000e+03	hotFins	3.536186619844e+04	6.498539625417e+04	1.260983698476e+03	4.072944762519e+04
2.125000000000e+03	hotFins	3.536192737659e+04	6.498539623950e+04	1.260984506788e+03	4.072947373347e+04
2.150000000000e+03	hotFins	3.536198696019e+04	6.498539622470e+04	1.260985255176e+03	4.072949790618e+04
2.175000000000e+03	hotFins	3.536204503332e+04	6.498539620991e+04	1.260985945669e+03	4.072952020896e+04
2.200000000000e+03	hotFins	3.536210167391e+04	6.498539619525e+04	1.260986583201e+03	4.072954080106e+04
2.225000000000e+03	hotFins	3.536215694930e+04	6.498539618083e+04	1.260987170629e+03	4.072955977485e+04
2.250000000000e+03	hotFins	3.536221091111e+04	6.498539616669e+04	1.260987710157e+03	4.072957720146e+04
2.275000000000e+03	hotFins	3.536226359577e+04	6.498539615289e+04	1.260988204909e+03	4.072959318182e+04
2.300000000000e+03	hotFins	3.536231501896e+04	6.498539613944e+04	1.260988656146e+03	4.072960775665e+04
2.325000000000e+03	hotFins	3.536236518141e+04	6.498539612640e+04	1.260989067399e+03	4.072962104003e+04
2.350000000000e+03	hotFins	3.536241406360e+04	6.498539611376e+04	1.260989439281e+03	4.072963305172e+04
2.375000000000e+03	hotFins	3.536246161870e+04	6.498539610156e+04	1.260989775573e+03	4.072964391387e+04
2.400000000000e+03	hotFins	3.536250777972e+04	6.498539608980e+04	1.260990075581e+03	4.072965360402e+04
