# Selection         : patch(inlet)
# Faces             : 384
# Area              : 3.870000000000e-04
# Time              	sum(phi)
1200                	-2.746465955816e-02
1225                	-2.746587478488e-02
1250                	-2.746705920407e-02
1275                	-2.746820165177e-02
1300                	-2.746928882857e-02
1325                	-2.747030643624e-02
1350                	-2.747124056854e-02
1375                	-2.747207923384e-02
1400                	-2.747281395852e-02
1425                	-2.747344085833e-02
1450                	-2.747396118875e-02
1475                	-2.747438094213e-02
1500                	-2.747470997270e-02
1525                	-2.747496066718e-02
1550                	-2.747514654002e-02
1575                	-2.747528081063e-02
1600                	-2.747537556160e-02
1625                	-2.747544105463e-02
1650                	-2.747548556839e-02
1675                	-2.747551544283e-02
1700                	-2.747553533138e-02
1725                	-2.747554851869e-02
1750                	-2.747555725716e-02
1775                	-2.747556304295e-02
1800                	-2.747556685896e-02
1825                	-2.747556934379e-02
1850                	-2.747557091285e-02
1875                	-2.747557183963e-02
1900                	-2.747557230713e-02
1925                	-2.747557244276e-02
1950                	-2.747557233645e-02
1975                	-2.747557205383e-02
2000                	-2.747557164364e-02
2025                	-2.747557114329e-02
2050                	-2.747557057803e-02
2075                	-2.747556997108e-02
2100                	-2.747556933805e-02
2125                	-2.747556869031e-02
2150                	-2.747556803908e-02
2175                	-2.747556738631e-02
2200                	-2.747556674095e-02
2225                	-2.747556610662e-02
2250                	-2.747556548420e-02
2275                	-2.747556487810e-02
2300                	-2.747556428646e-02
2325                	-2.747556371361e-02
2350                	-2.747556315776e-02
2375                	-2.747556262337e-02
2400                	-2.747556210517e-02
