# Selection         : patch(inlet)
# Faces             : 384
# Area              : 3.870000000000e-04
# Time              	areaAverage(p)
1200                	1.016841279847e+05
1225                	1.016884398404e+05
1250                	1.016925636453e+05
1275                	1.016964449051e+05
1300                	1.017000190233e+05
1325                	1.017032300392e+05
1350                	1.017060386859e+05
1375                	1.017084148792e+05
1400                	1.017103601870e+05
1425                	1.017118971464e+05
1450                	1.017130656636e+05
1475                	1.017139199643e+05
1500                	1.017145213938e+05
1525                	1.017149267266e+05
1550                	1.017151919398e+05
1575                	1.017153582000e+05
1600                	1.017154605043e+05
1625                	1.017155220326e+05
1650                	1.017155587835e+05
1675                	1.017155812176e+05
1700                	1.017155952810e+05
1725                	1.017156043097e+05
1750                	1.017156104285e+05
1775                	1.017156143566e+05
1800                	1.017156167495e+05
1825                	1.017156179386e+05
1850                	1.017156182013e+05
1875                	1.017156176909e+05
1900                	1.017156165939e+05
1925                	1.017156150320e+05
1950                	1.017156131354e+05
1975                	1.017156109967e+05
2000                	1.017156086919e+05
2025                	1.017156062726e+05
2050                	1.017156038636e+05
2075                	1.017156013465e+05
2100                	1.017155988951e+05
2125                	1.017155964135e+05
2150                	1.017155939326e+05
2175                	1.017155916099e+05
2200                	1.017155892579e+05
2225                	1.017155868833e+05
2250                	1.017155848137e+05
2275                	1.017155825803e+05
2300                	1.017155806013e+05
2325                	1.017155785283e+05
2350                	1.017155766845e+05
2375                	1.017155748074e+05
2400                	1.017155729330e+05
