# Selection         : patch(outlet)
# Faces             : 384
# Area              : 3.870000000000e-04
# Time              	sum(phi)
1200                	2.746465950168e-02
1225                	2.746587472641e-02
1250                	2.746705914657e-02
1275                	2.746820156812e-02
1300                	2.746928871994e-02
1325                	2.747030629995e-02
1350                	2.747124045131e-02
1375                	2.747207915137e-02
1400                	2.747281382856e-02
1425                	2.747344076981e-02
1450                	2.747396109091e-02
1475                	2.747438088069e-02
1500                	2.747470994283e-02
1525                	2.747496063549e-02
1550                	2.747514652925e-02
1575                	2.747528079878e-02
1600                	2.747537555328e-02
1625                	2.747544105026e-02
1650                	2.747548556197e-02
1675                	2.747551543407e-02
1700                	2.747553532314e-02
1725                	2.747554851794e-02
1750                	2.747555725791e-02
1775                	2.747556304330e-02
1800                	2.747556685902e-02
1825                	2.747556934897e-02
1850                	2.747557091696e-02
1875                	2.747557184327e-02
1900                	2.747557231058e-02
1925                	2.747557244622e-02
1950                	2.747557233958e-02
1975                	2.747557205638e-02
2000                	2.747557164557e-02
2025                	2.747557114507e-02
2050                	2.747557058073e-02
2075                	2.747556997486e-02
2100                	2.747556934150e-02
2125                	2.747556869424e-02
2150                	2.747556803963e-02
2175                	2.747556739154e-02
2200                	2.747556674583e-02
2225                	2.747556610676e-02
2250                	2.747556549011e-02
2275                	2.747556487867e-02
2300                	2.747556429231e-02
2325                	2.747556371410e-02
2350                	2.747556316346e-02
2375                	2.747556262403e-02
2400                	2.747556210604e-02
