# Selection         : patch(outlet)
# Faces             : 384
# Area              : 3.870000000000e-04
# Time              	areaAverage(p)
1200                	1.000000000000e+05
1225                	1.000000000000e+05
1250                	1.000000000000e+05
1275                	1.000000000000e+05
1300                	1.000000000000e+05
1325                	1.000000000000e+05
1350                	1.000000000000e+05
1375                	1.000000000000e+05
1400                	1.000000000000e+05
1425                	1.000000000000e+05
1450                	1.000000000000e+05
1475                	1.000000000000e+05
1500                	1.000000000000e+05
1525                	1.000000000000e+05
1550                	1.000000000000e+05
1575                	1.000000000000e+05
1600                	1.000000000000e+05
1625                	1.000000000000e+05
1650                	1.000000000000e+05
1675                	1.000000000000e+05
1700                	1.000000000000e+05
1725                	1.000000000000e+05
1750                	1.000000000000e+05
1775                	1.000000000000e+05
1800                	1.000000000000e+05
1825                	1.000000000000e+05
1850                	1.000000000000e+05
1875                	1.000000000000e+05
1900                	1.000000000000e+05
1925                	1.000000000000e+05
1950                	1.000000000000e+05
1975                	1.000000000000e+05
2000                	1.000000000000e+05
2025                	1.000000000000e+05
2050                	1.000000000000e+05
2075                	1.000000000000e+05
2100                	1.000000000000e+05
2125                	1.000000000000e+05
2150                	1.000000000000e+05
2175                	1.000000000000e+05
2200                	1.000000000000e+05
2225                	1.000000000000e+05
2250                	1.000000000000e+05
2275                	1.000000000000e+05
2300                	1.000000000000e+05
2325                	1.000000000000e+05
2350                	1.000000000000e+05
2375                	1.000000000000e+05
2400                	1.000000000000e+05
