# Selection         : patch(outlet)
# Faces             : 384
# Area              : 3.870000000000e-04
# Time              	areaAverage(T)
1200                	3.488911188880e+02
1225                	3.495698998437e+02
1250                	3.502050711665e+02
1275                	3.507838983670e+02
1300                	3.512949480139e+02
1325                	3.517299210792e+02
1350                	3.520851084432e+02
1375                	3.523620610373e+02
1400                	3.525672851762e+02
1425                	3.527110587418e+02
1450                	3.528057106166e+02
1475                	3.528638169176e+02
1500                	3.528967298618e+02
1525                	3.529136654419e+02
1550                	3.529213949954e+02
1575                	3.529244115968e+02
1600                	3.529253803510e+02
1625                	3.529256779884e+02
1650                	3.529258857395e+02
1675                	3.529261616893e+02
1700                	3.529264829768e+02
1725                	3.529267793956e+02
1750                	3.529269924518e+02
1775                	3.529270918092e+02
1800                	3.529270721579e+02
1825                	3.529269442140e+02
1850                	3.529267262516e+02
1875                	3.529264382735e+02
1900                	3.529260987693e+02
1925                	3.529257233552e+02
1950                	3.529253245104e+02
1975                	3.529249118552e+02
2000                	3.529244926255e+02
2025                	3.529240721696e+02
2050                	3.529236543866e+02
2075                	3.529232420852e+02
2100                	3.529228372692e+02
2125                	3.529224413520e+02
2150                	3.529220553170e+02
2175                	3.529216798486e+02
2200                	3.529213154002e+02
2225                	3.529209622769e+02
2250                	3.529206206811e+02
2275                	3.529202907207e+02
2300                	3.529199724728e+02
2325                	3.529196659658e+02
2350                	3.529193712389e+02
2375                	3.529190883299e+02
2400                	3.529188173335e+02
