fin_levels,thickness_mm,gap_mm,root_radius_mm,span_mm,duct,oil_w,h_a,h_b,h_delta,dp_max_pa,dp_delta,t_max_c,pass
14,2.4,3.5,4.0,100.0,splitter12,1200.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,230.82932418476685,True
14,2.0,3.5,4.0,100.0,splitter12,1200.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,232.7105075593763,True
14,2.4,3.5,4.0,100.0,shroud16,1200.0,184.43731975458985,180.08464538705027,0.024170158195244863,2279.86190293464,0.09815811347035405,238.27114562141332,True
14,2.4,3.5,3.0,100.0,splitter12,1200.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,238.87786089891455,True
14,2.0,3.5,4.0,100.0,shroud16,1200.0,180.45457112090483,175.68087756232143,0.027172527965600424,2279.86190293464,0.09815811347035405,240.1761632154831,True
14,2.0,3.5,3.0,100.0,splitter12,1200.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,240.77666555729843,True
12,2.4,3.5,4.0,100.0,shroud16,1200.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,241.5485117006947,True
14,2.4,3.5,4.0,86.0,shroud16,1200.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,242.05672561700072,True
12,2.0,3.5,4.0,100.0,shroud16,1200.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,243.75683759140594,True
14,2.0,3.5,4.0,86.0,shroud16,1200.0,200.48553378508245,194.12268872362438,0.032777441438166764,3084.733361470299,0.11492943597926897,244.26017256637363,True
12,2.4,3.5,4.0,86.0,shroud16,1200.0,230.7126717714562,222.67960988585733,0.03607452828625177,4308.4292404006665,0.1360558059550749,245.663110030366,True
14,2.4,3.5,3.0,100.0,shroud16,1200.0,184.43731975458985,180.08464538705027,0.024170158195244863,2279.86190293464,0.09815811347035405,246.38984704869432,True
14,2.4,3.5,2.0,100.0,splitter12,1200.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,247.98248012537937,True
12,2.0,3.5,4.0,86.0,shroud16,1200.0,224.60793617280137,216.09676079646218,0.03938594611492453,4308.4292404006665,0.1360558059550749,248.2155547341547,True
14,2.0,3.5,3.0,100.0,shroud16,1200.0,180.45457112090483,175.68087756232143,0.027172527965600424,2279.86190293464,0.09815811347035405,248.31302401893709,True
12,2.4,3.5,3.0,100.0,shroud16,1200.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,249.69850493121425,True
14,2.0,3.5,2.0,100.0,splitter12,1200.0,200.75471528958968,194.3376925254905,0.03301995964193869,4991.461590937183,0.07026418246019632,249.90162088490894,True
14,2.4,3.5,3.0,86.0,shroud16,1200.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,250.21159291742373,True
12,2.4,4.5,4.0,100.0,splitter12,1200.0,185.682771877684,179.91052676156878,0.032083976518867276,4138.459685733687,0.12492613170247986,251.06774526001612,True
12,2.0,3.5,3.0,100.0,shroud16,1200.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,251.92805262502054,True
14,2.0,3.5,3.0,86.0,shroud16,1200.0,200.48553378508245,194.12268872362438,0.032777441438166764,3084.733361470299,0.11492943597926897,252.43624015118922,True
12,2.0,4.5,4.0,100.0,splitter12,1200.0,181.64826984133705,175.51486930858218,0.034945190438374844,4138.459685733687,0.12492613170247986,253.30906985322173,True
12,2.4,3.5,3.0,86.0,shroud16,1200.0,230.7126717714562,222.67960988585733,0.03607452828625177,4308.4292404006665,0.1360558059550749,253.85273367107862,True
14,2.4,3.5,4.0,100.0,open,1200.0,149.95675233984878,147.76093805097432,0.014860587093166332,814.1969712149155,0.09752534497623833,254.9752806051282,True
12,2.4,4.5,4.0,86.0,splitter12,1200.0,206.80096627537952,199.2866231214484,0.03770620945968743,5598.531195280001,0.13240185531801513,255.52203131376405,True
14,2.4,3.5,2.0,100.0,shroud16,1200.0,184.43731975458985,180.08464538705027,0.024170158195244863,2279.86190293464,0.09815811347035405,255.5754569265399,True
12,2.0,3.5,3.0,86.0,shroud16,1200.0,224.60793617280137,216.09676079646218,0.03938594611492453,4308.4292404006665,0.1360558059550749,256.42995788745327,True
14,2.0,3.5,4.0,100.0,open,1200.0,147.28395394124863,144.74596182452657,0.01753411345456962,814.1969712149155,0.09752534497623833,256.92555239078615,True
14,2.0,3.5,2.0,100.0,shroud16,1200.0,180.45457112090483,175.68087756232143,0.027172527965600424,2279.86190293464,0.09815811347035405,257.5196021395881,True
12,2.0,4.5,4.0,86.0,splitter12,1200.0,201.84321579487525,193.94798036086192,0.040708005411159015,5598.531195280001,0.13240185531801513,258.11586505150365,True
12,2.4,3.5,4.0,100.0,open,1200.0,169.2006403204294,165.88158092115194,0.0200086072296061,1137.1841994654608,0.13600302551347523,258.64973535555987,True
12,2.4,3.5,2.0,100.0,shroud16,1200.0,207.52990595422236,201.41652083283353,0.030351954726011078,3184.269930545077,0.11971574788868973,258.92024858549667,True
14,2.4,3.5,4.0,86.0,open,1200.0,167.40349383805628,164.22169936722295,0.019374994188303834,1102.0833525146852,0.12738815214834456,259.3080156871689,True
12,2.4,4.5,3.0,100.0,splitter12,1200.0,185.682771877684,179.91052676156878,0.032083976518867276,4138.459685733687,0.12492613170247986,259.3100167773896,True
14,2.4,3.5,2.0,86.0,shroud16,1200.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,259.43896560974656,True
12,2.0,3.5,4.0,100.0,open,1200.0,165.8262409358738,162.11724312346166,0.022878490535319145,1137.1841994654608,0.13600302551347523,260.914835219549,False
12,2.4,4.5,4.0,100.0,shroud16,1200.0,166.2995198878973,162.0352481793674,0.02631693879228992,1868.3230626687148,0.20243083861700462,260.96538383278767,False
12,2.0,3.5,2.0,100.0,shroud16,1200.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,261.1743067551755,False
14,2.0,3.5,4.0,86.0,open,1200.0,164.0977970340929,160.52913470167638,0.022230620871709312,1102.0833525146852,0.12738815214834456,261.5680453214718,False
12,2.0,4.5,3.0,100.0,splitter12,1200.0,181.64826984133705,175.51486930858218,0.034945190438374844,4138.459685733687,0.12492613170247986,261.57337473948473,False
14,2.0,3.5,2.0,86.0,shroud16,1200.0,200.48553378508245,194.12268872362438,0.032777441438166764,3084.733361470299,0.11492943597926897,261.68809937331616,False
14,2.4,3.5,4.0,86.0,splitter12,1200.0,228.6645763419706,220.8106936879066,0.0355683980829509,6751.8236187342045,0.07955927740331953,234.3513651798848,False
14,2.0,3.5,4.0,86.0,splitter12,1200.0,222.66220828020926,214.33137989513844,0.03886891592424157,6751.8236187342045,0.07955927740331953,236.5248691601962,False
14,2.4,3.5,3.0,86.0,splitter12,1200.0,228.6645763419706,220.8106936879066,0.0355683980829509,6751.8236187342045,0.07955927740331953,242.43295672067177,False
14,2.0,3.5,3.0,86.0,splitter12,1200.0,222.66220828020926,214.33137989513844,0.03886891592424157,6751.8236187342045,0.07955927740331953,244.6269957897103,False
14,2.4,3.5,2.0,86.0,splitter12,1200.0,228.6645763419706,220.8106936879066,0.0355683980829509,6751.8236187342045,0.07955927740331953,251.5757255699719,False
14,2.0,3.5,2.0,86.0,splitter12,1200.0,222.66220828020926,214.33137989513844,0.03886891592424157,6751.8236187342045,0.07955927740331953,253.7934696216256,False
12,2.4,3.5,2.0,86.0,shroud16,1200.0,230.7126717714562,222.67960988585733,0.03607452828625177,4308.4292404006665,0.1360558059550749,263.120252342562,False
12,2.0,4.5,4.0,100.0,shroud16,1200.0,163.0357043096559,158.4362705691858,0.029030181813460534,1868.3230626687148,0.20243083861700462,263.2374068392637,False
14,2.4,3.5,3.0,100.0,open,1200.0,149.95675233984878,147.76093805097432,0.014860587093166332,814.1969712149155,0.09752534497623833,263.2560420646578,False
12,2.4,3.5,4.0,86.0,open,1200.0,188.61974700574783,183.99341585531485,0.025144003816261223,1539.2734427684447,0.16588543609008105,263.36805360096196,False
12,2.4,4.5,3.0,86.0,splitter12,1200.0,206.80096627537952,199.2866231214484,0.03770620945968743,5598.531195280001,0.13240185531801513,263.80820719804274,False
14,2.0,3.5,3.0,100.0,open,1200.0,147.28395394124863,144.74596182452657,0.01753411345456962,814.1969712149155,0.09752534497623833,265.2256598550115,False
12,2.0,3.5,2.0,86.0,shroud16,1200.0,224.60793617280137,216.09676079646218,0.03938594611492453,4308.4292404006665,0.1360558059550749,265.72610512312315,False
12,2.4,4.5,4.0,86.0,shroud16,1200.0,185.4741854493245,179.75867150435167,0.03179548389594359,2528.3256690710227,0.2171456493566183,265.78493254981754,False
12,2.0,3.5,4.0,86.0,open,1200.0,184.4620018071138,179.40582638403617,0.02818289419572351,1539.2734427684447,0.16588543609008105,265.9916423079933,False
12,2.0,4.5,3.0,86.0,splitter12,1200.0,201.84321579487525,193.94798036086192,0.040708005411159015,5598.531195280001,0.13240185531801513,266.427824702085,False
12,2.4,3.5,3.0,100.0,open,1200.0,169.2006403204294,165.88158092115194,0.0200086072296061,1137.1841994654608,0.13600302551347523,266.9670219191862,False
14,2.4,3.5,3.0,86.0,open,1200.0,167.40349383805628,164.22169936722295,0.019374994188303834,1102.0833525146852,0.12738815214834456,267.6318799709077,False
12,2.0,4.5,4.0,86.0,shroud16,1200.0,181.44837216417656,175.3700819531744,0.03465978998986338,2528.3256690710227,0.2171456493566183,268.41725203156966,False
