layer_index,z_mm,part_area_mm2,part_perimeter_mm,part_component_count,new_island_count,unsupported_area_mm2,unsupported_component_count,support_cross_section_area_mm2,support_cross_section_perimeter_mm
0,0.025,0.02128963,4.55973682,1,0,0.0,0,4782.125,4916.0
1,0.075,0.10789674,8.36166336,1,0,0.01606337,1,4781.625,4912.5
2,0.125,0.23128734,10.84987484,1,0,0.0,0,4781.625,4912.5
3,0.175,0.38220957,12.97418291,1,0,0.0,0,4781.625,4912.5
4,0.225,0.55707929,15.01530772,1,0,0.0,0,4781.625,4912.5
5,0.275,0.75307284,16.84079068,1,0,0.0,0,4781.625,4912.5
6,0.325,0.96863037,18.66627365,1,0,0.0,0,4781.625,4912.5
7,0.375,1.20332623,20.42222285,1,0,0.0,0,4781.625,4912.5
8,0.425,1.45469563,21.95665344,1,0,0.0,0,4781.625,4912.5
9,0.475,1.72135631,23.47462262,1,0,0.0,0,4781.625,4912.5
10,0.525,9.92991343,36.52983829,2,1,7.92769492,1,4771.625,4909.5
11,0.575,15.34222365,42.61723373,2,0,4.86372485,2,4766.0,4905.0
12,0.625,29.14748585,77.46679229,7,5,13.2197117,7,4748.4375,4883.5
13,0.675,41.19860845,99.98684842,8,1,10.84925897,10,4733.4375,4863.0
14,0.725,49.68214962,115.02610599,8,0,7.00018906,10,4724.125,4851.0
15,0.775,56.28163004,126.33691493,8,0,4.93077149,10,4718.1875,4844.5
16,0.825,62.29031958,137.25402098,11,3,4.19646451,11,4711.6875,4838.0
17,0.875,67.89029662,150.26470898,16,7,3.61488193,14,4706.625,4831.5
18,0.925,73.50143635,165.3278373,17,4,3.39861063,18,4699.875,4820.5
19,0.975,79.13642186,180.3012972,16,1,3.12901658,18,4694.6875,4816.0
20,1.025,84.7962942,194.51011108,17,1,2.87997023,19,4689.3125,4810.0
21,1.075,90.64460327,208.60477592,17,0,2.83121383,20,4684.875,4805.0
22,1.125,96.53859428,223.48991092,20,3,2.62544181,20,4679.6875,4798.0
23,1.175,102.58649153,240.81806154,19,3,2.53226709,22,4673.375,4786.0
24,1.225,108.88961567,255.26697432,20,2,2.48062672,20,4668.5,4780.5
25,1.275,115.2568251,272.27000834,22,3,2.30249643,20,4663.6875,4766.0
26,1.325,121.64399351,286.8152207,22,4,2.0686199,20,4659.75,4757.5
27,1.375,128.20374547,311.70774654,25,5,1.97194164,21,4651.3125,4723.0
28,1.425,145.82139023,361.14760187,30,6,12.61882909,24,4632.3125,4709.5
29,1.475,161.28648158,392.24644475,30,1,9.22072498,23,4619.875,4702.5
30,1.525,178.15857063,433.83175342,32,4,10.08462022,22,4604.3125,4698.5
31,1.575,195.05806722,455.40620648,32,0,9.07690838,23,4590.6875,4673.0
32,1.625,210.60121168,476.55921403,31,0,7.5891903,22,4578.0625,4650.0
33,1.675,229.07819639,505.266559,31,1,10.28311942,19,4562.75,4641.0
34,1.725,246.36437016,526.83578395,29,0,8.49075928,17,4550.25,4632.5
35,1.775,262.69965702,546.86345413,29,0,7.29341219,16,4541.125,4629.5
36,1.825,278.47811252,566.78490304,28,0,6.53173946,16,4530.75,4617.5
37,1.875,294.50623381,591.24980248,26,1,6.54812128,17,4519.1875,4609.5
38,1.925,310.44796247,611.73210336,26,0,6.19497659,17,4509.1875,4602.5
39,1.975,326.50700032,632.30131867,25,0,6.11862462,18,4499.75,4600.0
40,2.025,342.88446712,652.31187194,25,0,6.21115098,16,4489.5625,4594.5
41,2.075,360.2368203,674.26901598,25,0,6.96804675,17,4479.625,4590.5
42,2.125,380.86413092,714.80509098,25,0,9.93609639,16,4461.3125,4601.5
43,2.175,402.43911493,738.93901433,22,0,9.70025409,17,4446.75,4589.5
44,2.225,424.67921891,773.77206737,20,0,10.11092312,18,4434.0,4572.0
45,2.275,450.76626647,794.59300506,19,0,13.40884844,18,4415.9375,4567.0
46,2.325,474.66408821,821.86350741,19,0,10.95287834,19,4397.9375,4555.0
47,2.375,497.86191497,850.12055014,18,0,10.06256152,18,4384.5625,4544.0
48,2.425,520.59810672,856.5833866,16,0,9.4559196,17,4370.0,4539.5
49,2.475,542.60518748,837.94106315,16,0,9.06484542,19,4354.5625,4530.5
50,2.525,564.06500865,848.95670867,14,0,8.53051606,20,4341.625,4520.5
51,2.575,585.67241283,875.55983109,14,0,8.5258098,20,4327.8125,4510.0
52,2.625,607.65373458,891.3936247,12,0,8.55859729,20,4313.125,4502.0
53,2.675,629.59133741,893.52832198,11,0,8.43376254,18,4300.75,4492.5
54,2.725,651.34423088,897.66962304,11,0,8.40287285,20,4286.5,4482.0
55,2.775,673.41047765,913.08425982,12,1,8.79564071,24,4271.0625,4463.5
56,2.825,698.80792052,947.71286125,12,0,11.764232,24,4253.0,4439.0
57,2.875,757.18640398,998.14178913,11,0,43.58582018,24,4199.125,4400.0
58,2.925,787.72789693,1019.42909448,11,0,14.76060318,29,4177.8125,4367.5
59,2.975,814.69732958,1057.36321483,11,0,11.12633029,33,4155.875,4321.5
60,3.025,839.63491572,1093.84684396,10,0,8.87324364,35,4141.5625,4297.5
61,3.075,863.89264216,1087.22778778,9,0,8.15265938,32,4126.1875,4277.5
62,3.125,889.53665494,1081.07058039,10,2,9.72731662,30,4110.1875,4264.0
63,3.175,915.02755879,1071.85764409,10,0,9.50495172,30,4095.5,4257.5
64,3.225,939.76689781,1073.85206262,10,0,8.70234384,34,4079.5,4245.5
65,3.275,964.43276767,1071.27443799,9,0,8.28817957,35,4065.125,4232.5
66,3.325,988.43804316,1076.71590137,10,1,7.86618294,36,4050.375,4212.0
67,3.375,1012.65109573,1081.82249116,10,0,7.96730849,36,4035.375,4202.0
68,3.425,1037.23068366,1093.01084881,10,0,8.28305709,34,4025.75,4187.5
69,3.475,1062.07906495,1088.44095885,10,0,8.31066574,36,4010.875,4162.5
70,3.525,1087.33563394,1084.91078544,10,0,9.08602199,37,3994.625,4143.0
71,3.575,1117.56560329,1089.58329771,10,0,14.2602333,37,3975.0,4122.0
72,3.625,1184.90527807,1137.05459747,10,0,51.37462179,38,3908.1875,4076.0
73,3.675,1222.12349399,1147.13389436,9,0,20.29712921,40,3882.4375,4054.5
74,3.725,1251.78020284,1163.75855986,11,2,12.60490395,43,3864.375,4045.0
75,3.775,1284.73203523,1180.44996718,10,0,15.39141388,44,3842.25,4022.5
76,3.825,1314.57690466,1182.8729534,10,0,11.95874738,43,3822.75,4000.0
77,3.875,1342.85285248,1189.96158803,10,0,10.45883657,43,3807.4375,3980.5
78,3.925,1370.99438174,1197.79276846,10,0,10.26274216,42,3790.0625,3964.5
79,3.975,1398.80452918,1204.27664,9,0,9.86359077,43,3773.3125,3938.0
80,4.025,1426.42412932,1207.41922123,10,1,9.66416863,43,3755.875,3913.5
81,4.075,1454.14850305,1219.71425209,10,0,9.82994617,41,3742.0625,3893.5
82,4.125,1487.23702304,1220.76428407,11,1,15.25646243,42,3717.875,3870.5
83,4.175,1516.47359851,1220.91955137,11,0,11.25733682,43,3701.5625,3855.5
84,4.225,1544.49853612,1212.63583851,10,0,9.99330187,41,3683.5625,3824.0
85,4.275,1571.07274348,1206.30765651,8,0,9.01115087,41,3669.8125,3795.0
86,4.325,1598.39826796,1204.49728613,7,0,10.31639192,39,3654.25,3765.5
87,4.375,1661.10988529,1237.90933881,7,0,46.00737483,39,3598.5,3744.0
88,4.425,1691.29432072,1251.96792129,8,1,12.60553887,39,3579.75,3731.5
89,4.475,1718.62548305,1266.24572757,8,0,9.29608935,41,3564.8125,3719.5
90,4.525,1745.56545939,1272.04952411,7,0,8.61032735,43,3545.3125,3693.5
91,4.575,1770.98830752,1270.99366122,7,0,7.0519361,43,3535.9375,3679.0
92,4.625,1795.47818901,1270.91440613,7,0,6.29568482,43,3524.0,3666.5
93,4.675,1820.91920369,1276.81281583,8,1,7.24405344,44,3511.125,3652.0
94,4.725,1850.6555384,1283.78804035,8,0,11.30005139,45,3490.0625,3629.0
95,4.775,1880.33986392,1289.77486353,8,0,11.20430328,48,3474.125,3619.0
96,4.825,1909.69399568,1292.331049,7,0,10.84716412,44,3459.875,3594.0
97,4.875,1941.20625811,1292.8886485,8,1,12.83492359,43,3438.625,3567.0
98,4.925,1970.33543033,1296.76478807,8,0,10.49624133,39,3418.625,3552.0
99,4.975,1998.81905991,1286.25314155,8,0,10.04514913,36,3403.5625,3530.0
100,5.025,2025.47598815,1284.13616881,8,0,8.46727371,33,3388.25,3506.0
