case_id,laser_power_w,scan_speed_mm_s,hatch_spacing_mm,layer_thickness_mm,volumetric_energy_density_j_mm3
P360-V1200-H130,360,1200,0.13,0.05,46.153846153846146
P360-V1200-H150,360,1200,0.15,0.05,40.0
P360-V1200-H160,360,1200,0.16,0.05,37.49999999999999
P360-V1300-H130,360,1300,0.13,0.05,42.603550295857985
P360-V1300-H150,360,1300,0.15,0.05,36.92307692307692
P360-V1300-H160,360,1300,0.16,0.05,34.61538461538461
P360-V1500-H130,360,1500,0.13,0.05,36.92307692307692
P360-V1500-H150,360,1500,0.15,0.05,32.0
P360-V1500-H160,360,1500,0.16,0.05,30.0
P380-V1200-H130,380,1200,0.13,0.05,48.717948717948715
P380-V1200-H150,380,1200,0.15,0.05,42.22222222222222
P380-V1200-H160,380,1200,0.16,0.05,39.58333333333333
P380-V1300-H130,380,1300,0.13,0.05,44.970414201183424
P380-V1300-H150,380,1300,0.15,0.05,38.97435897435897
P380-V1300-H160,380,1300,0.16,0.05,36.53846153846154
P380-V1500-H130,380,1500,0.13,0.05,38.97435897435897
P380-V1500-H150,380,1500,0.15,0.05,33.77777777777778
P380-V1500-H160,380,1500,0.16,0.05,31.666666666666668
P400-V1200-H130,400,1200,0.13,0.05,51.28205128205128
P400-V1200-H150,400,1200,0.15,0.05,44.44444444444444
P400-V1200-H160,400,1200,0.16,0.05,41.66666666666666
P400-V1300-H130,400,1300,0.13,0.05,47.33727810650887
P400-V1300-H150,400,1300,0.15,0.05,41.02564102564103
P400-V1300-H160,400,1300,0.16,0.05,38.46153846153846
P400-V1500-H130,400,1500,0.13,0.05,41.02564102564103
P400-V1500-H150,400,1500,0.15,0.05,35.55555555555556
P400-V1500-H160,400,1500,0.16,0.05,33.333333333333336
