observation_id,control_id,measurement_side,repetition_index,feature_id,scan_region_token,setup_id,method_id,quantity,unit,value,standard_uncertainty,temperature_c,timestamp_utc,instrument_or_software_id,calibration_or_validation_evidence_ref,raw_evidence_ref,operator_or_lab,review_status
SC-01-PHYSICAL-01,SC-01,physical,1,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-01-PHYSICAL-02,SC-01,physical,2,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-01-PHYSICAL-03,SC-01,physical,3,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-01-SCAN-01,SC-01,scan,1,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-01-SCAN-02,SC-01,scan,2,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-01-SCAN-03,SC-01,scan,3,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-02-PHYSICAL-01,SC-02,physical,1,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-02-PHYSICAL-02,SC-02,physical,2,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-02-PHYSICAL-03,SC-02,physical,3,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-02-SCAN-01,SC-02,scan,1,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-02-SCAN-02,SC-02,scan,2,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-02-SCAN-03,SC-02,scan,3,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-03-PHYSICAL-01,SC-03,physical,1,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-03-PHYSICAL-02,SC-03,physical,2,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-03-PHYSICAL-03,SC-03,physical,3,,,,,same_feature_distance,mm,,,,,,,,,missing
SC-03-SCAN-01,SC-03,scan,1,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-03-SCAN-02,SC-03,scan,2,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
SC-03-SCAN-03,SC-03,scan,3,,,,,same_feature_distance,OBJ_unit,,,,,,,,,missing
